id,country,object_type,launch_year,altitude_km,orbit_type,status
1191,Canada,Debris,2025,25411.55,GEO,Inactive
1192,France,Debris,2014,7899.41,MEO,Active
1193,United Kingdom,Payload,2004,9945.79,MEO,Active
1194,Australia,Debris,1985,19141.92,MEO,Active
1195,China,Debris,2014,13118.79,MEO,Active
1196,China,Payload,1962,11296.75,MEO,Active
1197,Japan,Debris,2011,32318.15,GEO,Inactive
1198,UAE,Debris,1994,24913.33,GEO,Inactive
1199,Japan,Debris,2001,25216.72,GEO,Inactive
1200,Israel,Rocket Body,1974,26384.22,GEO,Inactive
1201,India,Payload,2019,6980.81,MEO,Inactive
1202,Australia,Debris,2002,8275.58,MEO,Inactive
1203,United States,Payload,1988,27894.59,GEO,Active
1204,Russia,Payload,1964,31817.61,GEO,Active
1205,Israel,Debris,2021,34688.44,GEO,Inactive
1206,Canada,Payload,2000,32163.33,GEO,Active
1207,Germany,Payload,2025,10780.21,MEO,Inactive
1208,Brazil,Payload,1976,26120.35,GEO,Active
1209,United States,Payload,1987,15953.95,MEO,Active
1210,Italy,Payload,2012,25563.53,GEO,Inactive
1211,Israel,Payload,1997,23253.93,GEO,Inactive
1212,United Kingdom,Debris,1988,32215.64,GEO,Inactive
1213,Japan,Payload,1978,9825.09,MEO,Active
1214,Germany,Payload,1964,33132.48,GEO,Inactive
1215,China,Debris,1987,5725.12,MEO,Active
1216,South Korea,Debris,1997,22631.22,GEO,Active
1217,United States,Debris,2000,21903.88,GEO,Inactive
1218,China,Payload,2014,23052.11,GEO,Inactive
1219,Australia,Debris,2000,14735.33,MEO,Active
1220,India,Payload,1963,13085.68,MEO,Inactive
1221,Brazil,Payload,2001,19622.57,MEO,Active
1222,United Kingdom,Payload,1995,1823.93,LEO,Active
1223,Brazil,Payload,2020,9262.6,MEO,Inactive
1224,India,Payload,1996,857.57,LEO,Active
1225,France,Debris,1975,29053.37,GEO,Inactive
1226,China,Payload,2017,15723.17,MEO,Inactive
1227,South Korea,Debris,2011,2815.82,MEO,Active
1228,Brazil,Debris,1990,9564.46,MEO,Inactive
1229,Italy,Payload,2012,24460.14,GEO,Inactive
1230,Brazil,Payload,1987,7091.79,MEO,Active
1231,China,Payload,2015,20706.59,GEO,Inactive
1232,Israel,Payload,1965,12520.91,MEO,Active
1233,China,Debris,1966,29804.54,GEO,Active
1234,India,Debris,2023,22936.99,GEO,Active
1235,Japan,Payload,2014,33253.28,GEO,Inactive
1236,Germany,Debris,1998,3532.33,MEO,Inactive
1237,Japan,Payload,2004,29036.72,GEO,Active
1238,UAE,Payload,1986,35603.91,GEO,Inactive
1239,Japan,Payload,1984,21932.39,GEO,Inactive
1240,China,Debris,1985,19295.67,MEO,Active
1241,China,Debris,1997,25853.61,GEO,Inactive
1242,Russia,Payload,2001,13603.01,MEO,Active
1243,Germany,Payload,1985,15329.77,MEO,Active
1244,Japan,Payload,2022,5638.38,MEO,Active
1245,UAE,Rocket Body,1994,6389.35,MEO,Inactive
1246,Russia,Payload,1984,3079.4,MEO,Active
1247,Germany,Payload,2001,2727.59,MEO,Inactive
1248,France,Debris,1960,11796.86,MEO,Inactive
1249,Canada,Rocket Body,2016,6299.02,MEO,Inactive
1250,Italy,Debris,1960,15928.98,MEO,Active
1251,Russia,Payload,1982,10304.11,MEO,Active
1252,Brazil,Payload,2022,18243.22,MEO,Active
1253,Italy,Rocket Body,1990,18575.9,MEO,Active
1254,UAE,Debris,1993,17418.66,MEO,Active
1255,Canada,Payload,1974,19572.93,MEO,Active
1256,India,Debris,2023,3276.06,MEO,Active
1257,United Kingdom,Debris,1972,29650.01,GEO,Active
1258,Australia,Debris,1978,1068.33,LEO,Inactive
1259,Brazil,Payload,1986,2014.54,MEO,Inactive
1260,France,Payload,1990,16812.41,MEO,Active
1261,Germany,Debris,2024,1266.07,LEO,Inactive
1262,Japan,Debris,2013,8550.13,MEO,Active
1263,South Korea,Debris,1965,16859.79,MEO,Active
1264,United States,Payload,2008,5744.01,MEO,Inactive
1265,Russia,Payload,1961,12921.16,MEO,Inactive
1266,Brazil,Debris,2015,18396.62,MEO,Active
1267,India,Payload,2000,9189.9,MEO,Active
1268,India,Payload,1974,1362.06,LEO,Inactive
1269,United States,Payload,1986,26366.38,GEO,Active
1270,Japan,Payload,1962,21056.53,GEO,Inactive
1271,Russia,Payload,1977,29301.64,GEO,Active
1272,Japan,Debris,1987,20954.18,GEO,Active
1273,Canada,Debris,1978,5171.24,MEO,Active
1274,France,Debris,2012,18918.15,MEO,Inactive
1275,Australia,Debris,1961,8280.09,MEO,Active
1276,Japan,Debris,2015,4269.51,MEO,Active
1277,South Korea,Payload,1967,13479.01,MEO,Active
1278,United States,Rocket Body,1991,6402.99,MEO,Inactive
1279,India,Payload,1981,27942.35,GEO,Inactive
1280,Australia,Debris,1983,12665.77,MEO,Inactive
1281,France,Debris,2000,31639.26,GEO,Inactive
1282,Japan,Debris,2024,8786.81,MEO,Active
1283,Canada,Debris,1993,6211.58,MEO,Active
1284,Brazil,Debris,1970,19031.56,MEO,Active
1285,Germany,Payload,1999,23128.89,GEO,Inactive
1286,United States,Payload,1999,34483.57,GEO,Inactive
1287,Israel,Payload,2003,15766.76,MEO,Inactive
1288,Germany,Debris,1976,29672.15,GEO,Inactive
1289,Brazil,Payload,2019,22044.93,GEO,Inactive
1290,United Kingdom,Debris,1981,14669.12,MEO,Inactive
1291,China,Payload,1964,21714.99,GEO,Inactive
1292,Russia,Debris,2015,23777.03,GEO,Inactive
1293,UAE,Payload,1980,30751.5,GEO,Active
1294,Canada,Rocket Body,1990,13589.31,MEO,Inactive
1295,Australia,Payload,1982,11042.84,MEO,Active
1296,United Kingdom,Payload,2010,17646.07,MEO,Inactive
1297,India,Payload,1986,33239.94,GEO,Inactive
1298,UAE,Payload,1983,9146.71,MEO,Active
1299,Japan,Payload,1989,20362.31,GEO,Inactive
1300,Japan,Payload,1979,30541.77,GEO,Active
1301,France,Payload,1986,2136.61,MEO,Inactive
1302,Russia,Rocket Body,1986,1057.56,LEO,Active
1303,South Korea,Payload,1997,26140.48,GEO,Active
1304,Brazil,Payload,1979,12057.04,MEO,Active
1305,Israel,Debris,2001,30170.35,GEO,Active
1306,Israel,Payload,2013,4694.2,MEO,Active
1307,UAE,Debris,2005,31646.68,GEO,Inactive
1308,United Kingdom,Payload,2025,24207.92,GEO,Active
1309,Australia,Rocket Body,1963,30881.33,GEO,Inactive
1310,United Kingdom,Debris,2018,18058.44,MEO,Inactive
1311,France,Debris,1973,24170.58,GEO,Inactive
1312,Japan,Debris,2014,5523.21,MEO,Active
1313,Brazil,Rocket Body,2015,21531.94,GEO,Inactive
1314,South Korea,Debris,2015,25432.98,GEO,Active
1315,Italy,Payload,1990,13344.32,MEO,Inactive
1316,France,Payload,1969,2914.36,MEO,Active
1317,South Korea,Payload,1987,8885.27,MEO,Active
1318,China,Debris,1979,26356.59,GEO,Active
1319,South Korea,Debris,1977,13090.71,MEO,Active
1320,China,Payload,1973,33923.52,GEO,Inactive
1321,China,Payload,1997,34346.79,GEO,Active
1322,Russia,Debris,1981,2900.25,MEO,Active
1323,South Korea,Payload,2013,22195.54,GEO,Active
1324,Brazil,Payload,1993,4644.36,MEO,Inactive
1325,Brazil,Debris,1988,34201.44,GEO,Active
1326,France,Rocket Body,1995,1022.73,LEO,Active
1327,Japan,Debris,1998,13809.82,MEO,Inactive
1328,Brazil,Payload,1995,4127.1,MEO,Active
1329,Russia,Payload,2020,16433.81,MEO,Active
1330,South Korea,Debris,1961,11467.37,MEO,Inactive
1331,France,Payload,2008,6754.96,MEO,Active
1332,India,Debris,2023,12324.73,MEO,Active
1333,India,Payload,2010,2434.03,MEO,Inactive
1334,Germany,Payload,1970,25642.61,GEO,Active
1335,UAE,Debris,1974,8212.68,MEO,Active
1336,India,Debris,2010,9699.77,MEO,Inactive
1337,France,Payload,1986,10430.47,MEO,Inactive
1338,United States,Payload,1972,28464.03,GEO,Inactive
1339,China,Debris,2012,3605.42,MEO,Inactive
1340,Israel,Payload,2019,35410.69,GEO,Inactive
1341,Brazil,Payload,1963,22402.67,GEO,Inactive
1342,Australia,Rocket Body,2022,8258.39,MEO,Active
1343,United Kingdom,Debris,1970,25057.19,GEO,Inactive
1344,Brazil,Payload,1993,18731.57,MEO,Active
1345,Brazil,Debris,1990,3395.76,MEO,Active
1346,South Korea,Rocket Body,1977,12537.56,MEO,Active
1347,China,Payload,1975,19965.4,MEO,Inactive
1348,India,Rocket Body,2017,4510.43,MEO,Active
1349,India,Payload,1981,30700.12,GEO,Active
1350,Australia,Payload,2016,26471.87,GEO,Active
1351,Brazil,Payload,1994,20949.5,GEO,Active
1352,Italy,Debris,1985,14862.87,MEO,Inactive
1353,Israel,Debris,2008,35081.12,GEO,Inactive
1354,United Kingdom,Debris,2015,1083.92,LEO,Inactive
1355,Brazil,Debris,2006,20049.87,GEO,Active
1356,Israel,Debris,1967,20316.12,GEO,Inactive
1357,India,Debris,2009,35550.08,GEO,Active
1358,India,Payload,1968,16654.13,MEO,Active
1359,United Kingdom,Payload,2014,29197.79,GEO,Active
1360,South Korea,Debris,1998,11337.61,MEO,Inactive
1361,Japan,Payload,2020,18063.4,MEO,Active
1362,United Kingdom,Payload,1981,14094.47,MEO,Inactive
1363,Canada,Payload,1987,26678.46,GEO,Active
1364,Canada,Payload,1960,18455.18,MEO,Inactive
1365,Japan,Debris,1999,4527.29,MEO,Inactive
1366,Brazil,Payload,1961,23859.03,GEO,Active
1367,United States,Debris,1964,9008.07,MEO,Active
1368,France,Payload,1963,33562.83,GEO,Active
1369,Brazil,Payload,2001,15906.74,MEO,Active
1370,UAE,Debris,2002,31517.74,GEO,Inactive
1371,Brazil,Payload,2001,15277.86,MEO,Inactive
1372,United Kingdom,Payload,1990,11134.58,MEO,Active
1373,India,Debris,1982,20966.01,GEO,Inactive
1374,India,Payload,2019,10381.23,MEO,Inactive
1375,Canada,Rocket Body,2019,30367.01,GEO,Active
1376,Japan,Payload,2017,5657.06,MEO,Inactive
1377,China,Debris,1997,10437.53,MEO,Inactive
1378,Brazil,Debris,1999,19782.9,MEO,Active
1379,China,Payload,1978,34963.11,GEO,Inactive
1380,Italy,Debris,1973,6534.09,MEO,Active
1381,United Kingdom,Payload,2018,23647.17,GEO,Inactive
1382,United Kingdom,Debris,1961,33011.13,GEO,Inactive
1383,Israel,Payload,1977,10684.59,MEO,Inactive
1384,China,Debris,1999,11493.0,MEO,Active
1385,Canada,Payload,2010,31491.39,GEO,Active
1386,Australia,Debris,1978,5351.06,MEO,Active
1387,Germany,Payload,1980,7258.65,MEO,Active
1388,Italy,Debris,1983,6795.92,MEO,Active
1389,United Kingdom,Debris,1981,23873.8,GEO,Inactive
1390,United States,Debris,1960,13560.88,MEO,Active
1391,Russia,Debris,2011,16871.08,MEO,Active
1392,Russia,Rocket Body,2019,31652.41,GEO,Active
1393,Israel,Debris,2004,14531.71,MEO,Active
1394,Canada,Rocket Body,2021,16909.73,MEO,Active
1395,Italy,Debris,2009,35849.45,GEO,Inactive
1396,China,Payload,2022,24802.48,GEO,Active
1397,Japan,Rocket Body,2024,20856.46,GEO,Active
1398,United States,Debris,1996,11974.4,MEO,Inactive
1399,South Korea,Rocket Body,1998,25247.84,GEO,Active
1400,Germany,Debris,2018,35718.85,GEO,Active
1401,Germany,Payload,1978,34017.95,GEO,Inactive
1402,Israel,Payload,2021,23431.27,GEO,Active
1403,United Kingdom,Payload,1997,9252.78,MEO,Inactive
1404,UAE,Payload,2020,30100.02,GEO,Active
1405,India,Payload,2013,33240.11,GEO,Active
1406,India,Payload,1964,3537.27,MEO,Inactive
1407,Israel,Payload,1980,35630.35,GEO,Active
1408,Brazil,Payload,2016,33385.68,GEO,Active
1409,UAE,Payload,1980,25475.18,GEO,Inactive
1410,Russia,Payload,2021,12139.24,MEO,Active
1411,Russia,Debris,2014,15658.45,MEO,Active
1412,United Kingdom,Rocket Body,1980,32187.69,GEO,Active
1413,Canada,Payload,1981,32344.34,GEO,Inactive
1414,Germany,Payload,2001,34435.39,GEO,Inactive
1415,China,Payload,2017,13379.33,MEO,Active
1416,Canada,Debris,1972,5543.39,MEO,Active
1417,Israel,Payload,1978,13307.92,MEO,Inactive
1418,South Korea,Debris,1988,16921.78,MEO,Active
1419,France,Payload,1996,10904.59,MEO,Inactive
1420,Brazil,Debris,2025,5920.63,MEO,Inactive
1421,United Kingdom,Payload,1991,5179.0,MEO,Inactive
1422,China,Rocket Body,2021,7223.67,MEO,Active
1423,Italy,Payload,2018,33454.15,GEO,Inactive
1424,Italy,Payload,1984,27465.74,GEO,Active
1425,Italy,Debris,1961,13548.07,MEO,Inactive
1426,Russia,Rocket Body,1972,25441.97,GEO,Active
1427,Brazil,Rocket Body,1999,7116.53,MEO,Active
1428,China,Rocket Body,2020,35025.69,GEO,Inactive
1429,Italy,Debris,2002,7209.16,MEO,Inactive
1430,United States,Payload,2002,19011.47,MEO,Inactive
1431,China,Debris,2023,19127.2,MEO,Inactive
1432,France,Payload,1961,4304.58,MEO,Inactive
1433,Brazil,Debris,1998,8294.19,MEO,Inactive
1434,Italy,Debris,1968,26484.43,GEO,Active
1435,Canada,Payload,1960,27630.36,GEO,Active
1436,UAE,Payload,1964,30843.23,GEO,Inactive
1437,India,Debris,2003,33165.16,GEO,Active
1438,Brazil,Payload,2000,28275.4,GEO,Inactive
1439,United Kingdom,Debris,1964,32898.29,GEO,Active
1440,Israel,Debris,1970,21882.93,GEO,Active
1441,United States,Debris,1976,7945.97,MEO,Active
1442,France,Payload,1982,30081.33,GEO,Active
1443,United States,Rocket Body,1966,14273.11,MEO,Inactive
1444,UAE,Rocket Body,1969,1156.94,LEO,Active
1445,India,Debris,1988,21985.07,GEO,Active
1446,France,Payload,1965,1246.73,LEO,Inactive
1447,Italy,Payload,1996,4389.08,MEO,Active
1448,United Kingdom,Debris,2010,25420.8,GEO,Active
1449,South Korea,Payload,1986,27279.34,GEO,Inactive
1450,Brazil,Debris,1990,4958.66,MEO,Active
1451,Brazil,Payload,2000,34767.1,GEO,Active
1452,France,Payload,1970,18219.03,MEO,Active
1453,Japan,Payload,1982,26561.09,GEO,Active
1454,India,Payload,2008,17261.22,MEO,Inactive
1455,Australia,Payload,1974,18537.65,MEO,Active
1456,UAE,Payload,2015,30779.56,GEO,Active
1457,Italy,Payload,1965,30067.1,GEO,Active
1458,Japan,Debris,1961,35166.41,GEO,Inactive
1459,South Korea,Debris,2017,3227.91,MEO,Active
1460,United Kingdom,Debris,1984,9063.66,MEO,Inactive
1461,United Kingdom,Payload,2009,31810.46,GEO,Active
1462,Germany,Payload,1996,22405.91,GEO,Inactive
1463,Australia,Debris,1970,29276.9,GEO,Active
1464,Canada,Debris,2004,7284.85,MEO,Inactive
1465,India,Payload,2022,21399.35,GEO,Active
1466,India,Rocket Body,1999,5794.99,MEO,Inactive
1467,Russia,Payload,1961,33784.91,GEO,Inactive
1468,UAE,Debris,1973,12927.58,MEO,Active
1469,Australia,Payload,2005,21550.38,GEO,Active
1470,Canada,Payload,1985,20576.07,GEO,Inactive
1471,France,Payload,1981,11602.94,MEO,Inactive
1472,United Kingdom,Payload,2002,24878.91,GEO,Inactive
1473,United Kingdom,Debris,1983,7729.37,MEO,Inactive
1474,Japan,Rocket Body,1995,2410.18,MEO,Active
1475,United Kingdom,Payload,1965,9137.53,MEO,Inactive
1476,France,Rocket Body,2014,22572.12,GEO,Active
1477,South Korea,Debris,1998,14745.56,MEO,Inactive
1478,India,Debris,1969,24926.14,GEO,Active
1479,Japan,Debris,1976,29237.78,GEO,Active
1480,Italy,Rocket Body,1992,11497.0,MEO,Active
1481,Japan,Payload,2022,21064.82,GEO,Inactive
1482,South Korea,Debris,1971,25547.4,GEO,Active
1483,Australia,Payload,2014,3796.41,MEO,Active
1484,Israel,Debris,1978,26603.53,GEO,Inactive
1485,UAE,Payload,2000,364.75,LEO,Active
1486,France,Debris,1996,9014.93,MEO,Inactive
1487,UAE,Payload,1994,10359.15,MEO,Active
1488,UAE,Payload,1996,15872.99,MEO,Active
1489,Israel,Rocket Body,1978,34741.45,GEO,Inactive
1490,South Korea,Payload,1977,11947.66,MEO,Active
1491,United States,Debris,2009,21520.95,GEO,Inactive
1492,Japan,Payload,1987,33224.93,GEO,Active
1493,UAE,Payload,2009,27852.07,GEO,Inactive
1494,United States,Payload,1960,22004.36,GEO,Active
1495,Brazil,Rocket Body,2025,14839.94,MEO,Active
1496,France,Payload,1973,10037.83,MEO,Inactive
1497,Russia,Payload,2023,1729.87,LEO,Active
1498,China,Payload,2001,17018.68,MEO,Inactive
1499,Israel,Payload,1976,24604.3,GEO,Active
1500,France,Debris,2022,18472.04,MEO,Active
1501,South Korea,Payload,1996,14715.06,MEO,Active
1502,Italy,Rocket Body,1996,12925.43,MEO,Active
1503,China,Payload,2022,30183.22,GEO,Active
1504,Australia,Debris,1988,2919.96,MEO,Inactive
1505,South Korea,Payload,1980,13398.09,MEO,Inactive
1506,Russia,Payload,1974,26756.01,GEO,Active
1507,Australia,Payload,1994,6089.55,MEO,Active
1508,Italy,Debris,1978,20317.62,GEO,Inactive
1509,France,Debris,1964,12018.92,MEO,Active
1510,India,Payload,1980,4888.19,MEO,Inactive
1511,Australia,Payload,1985,34869.72,GEO,Inactive
1512,Russia,Payload,1979,4636.48,MEO,Active
1513,United States,Payload,1999,23062.44,GEO,Active
1514,Germany,Payload,2024,2539.62,MEO,Active
1515,Canada,Debris,2011,26242.32,GEO,Active
1516,United States,Debris,2017,32329.48,GEO,Active
1517,Israel,Payload,1982,27165.83,GEO,Active
1518,Russia,Payload,1996,18496.89,MEO,Active
1519,UAE,Payload,1988,28630.78,GEO,Inactive
1520,United States,Payload,2017,28592.92,GEO,Inactive
1521,Israel,Payload,2025,30541.56,GEO,Active
1522,Canada,Payload,2004,9131.8,MEO,Inactive
1523,China,Payload,2009,17519.68,MEO,Inactive
1524,United States,Payload,2008,11193.11,MEO,Inactive
1525,United States,Payload,2007,9693.2,MEO,Active
1526,India,Debris,1982,4875.91,MEO,Active
1527,United Kingdom,Payload,1964,9626.22,MEO,Active
1528,Canada,Debris,1996,27514.35,GEO,Active
1529,United States,Payload,2015,23873.05,GEO,Active
1530,South Korea,Payload,2015,23513.55,GEO,Inactive
1531,UAE,Payload,2012,3331.73,MEO,Inactive
1532,India,Rocket Body,2015,34370.9,GEO,Active
1533,Israel,Payload,2025,17902.76,MEO,Active
1534,Germany,Payload,1983,21982.38,GEO,Active
1535,South Korea,Rocket Body,1991,19254.63,MEO,Inactive
1536,Italy,Payload,1974,14392.83,MEO,Inactive
1537,Germany,Payload,1988,20836.73,GEO,Active
1538,Australia,Debris,1985,8558.3,MEO,Active
1539,India,Rocket Body,2009,4825.27,MEO,Inactive
1540,UAE,Payload,1972,16526.57,MEO,Active
1541,United States,Payload,1964,1952.08,LEO,Active
1542,Germany,Payload,1983,4415.68,MEO,Active
1543,Brazil,Payload,1991,26148.18,GEO,Inactive
1544,France,Debris,1968,35936.83,GEO,Inactive
1545,Canada,Debris,2010,7262.22,MEO,Inactive
1546,France,Payload,1983,35621.18,GEO,Active
1547,UAE,Debris,1974,20562.53,GEO,Inactive
1548,UAE,Payload,2011,2487.08,MEO,Inactive
1549,United Kingdom,Debris,1989,11085.72,MEO,Active
1550,Japan,Payload,1969,18781.14,MEO,Active
1551,Russia,Debris,2010,20127.19,GEO,Inactive
1552,Brazil,Debris,2017,18288.08,MEO,Inactive
1553,Israel,Debris,2013,8601.75,MEO,Active
1554,United States,Debris,1977,30963.24,GEO,Inactive
1555,China,Debris,1986,21048.16,GEO,Active
1556,United States,Rocket Body,2021,13905.67,MEO,Inactive
1557,Brazil,Payload,1976,18039.13,MEO,Active
1558,United States,Payload,2016,3173.66,MEO,Inactive
1559,India,Payload,2011,7980.35,MEO,Active
1560,India,Debris,1998,31660.69,GEO,Inactive
1561,United States,Debris,1961,22561.31,GEO,Active
1562,Russia,Debris,1975,28942.59,GEO,Active
1563,Germany,Debris,1996,33511.79,GEO,Inactive
1564,United States,Payload,2022,12782.98,MEO,Inactive
1565,Canada,Payload,2012,11087.8,MEO,Inactive
1566,Australia,Rocket Body,1968,35139.32,GEO,Active
1567,France,Payload,2013,17002.41,MEO,Inactive
1568,India,Payload,2013,4999.12,MEO,Active
1569,South Korea,Debris,1977,1668.99,LEO,Inactive
1570,Italy,Payload,1979,26150.32,GEO,Active
1571,Russia,Debris,2018,24397.87,GEO,Inactive
1572,UAE,Payload,1988,13477.44,MEO,Active
1573,Australia,Debris,1964,33029.91,GEO,Active
1574,United Kingdom,Payload,2007,32173.22,GEO,Inactive
1575,Italy,Debris,1991,17649.05,MEO,Active
1576,Canada,Rocket Body,1985,26615.62,GEO,Active
1577,Brazil,Payload,2020,13844.39,MEO,Inactive
1578,China,Payload,1968,23398.79,GEO,Active
1579,Germany,Payload,1986,18216.46,MEO,Active
1580,South Korea,Debris,2021,4646.37,MEO,Inactive
1581,Canada,Debris,2003,9781.64,MEO,Inactive
1582,Canada,Payload,1982,2479.22,MEO,Active
1583,India,Debris,1978,5253.45,MEO,Inactive
1584,South Korea,Payload,2001,9326.11,MEO,Active
1585,China,Debris,1962,5712.22,MEO,Active
1586,Japan,Payload,1969,29953.75,GEO,Active
1587,South Korea,Payload,2001,33058.2,GEO,Inactive
1588,United Kingdom,Rocket Body,1981,5818.81,MEO,Active
1589,Australia,Debris,1963,8628.66,MEO,Active
1590,Russia,Rocket Body,1967,5984.92,MEO,Active
1591,India,Debris,1994,15303.27,MEO,Active
1592,France,Debris,1985,26053.45,GEO,Active
1593,United States,Payload,2015,12193.07,MEO,Active
1594,South Korea,Debris,1967,8034.75,MEO,Active
1595,Israel,Rocket Body,1975,16243.15,MEO,Active
1596,South Korea,Payload,1966,25140.55,GEO,Active
1597,South Korea,Debris,2019,31624.57,GEO,Inactive
1598,Italy,Rocket Body,2004,22606.36,GEO,Inactive
1599,United Kingdom,Debris,2004,28974.3,GEO,Active
1600,Brazil,Debris,2013,4814.1,MEO,Active
1601,UAE,Payload,1994,8347.51,MEO,Active
1602,France,Debris,1979,10211.73,MEO,Inactive
1603,Italy,Payload,1993,28406.49,GEO,Inactive
1604,United Kingdom,Payload,1968,32106.8,GEO,Active
1605,Brazil,Payload,2013,9134.11,MEO,Active
1606,China,Debris,1970,4995.19,MEO,Inactive
1607,Italy,Rocket Body,2005,5656.06,MEO,Active
1608,Canada,Payload,1960,22214.95,GEO,Active
1609,United Kingdom,Payload,1994,1683.12,LEO,Inactive
1610,United States,Payload,1993,33409.21,GEO,Active
1611,United Kingdom,Debris,1991,15325.0,MEO,Active
1612,Italy,Payload,2022,14207.44,MEO,Active
1613,Australia,Debris,2008,9730.48,MEO,Active
1614,Australia,Debris,2023,26172.98,GEO,Active
1615,Canada,Payload,2003,22636.45,GEO,Active
1616,India,Payload,1962,35422.03,GEO,Active
1617,Brazil,Debris,1961,22135.55,GEO,Active
1618,Germany,Payload,1994,35154.84,GEO,Inactive
1619,France,Debris,2011,33502.88,GEO,Active
1620,Japan,Debris,1993,26013.0,GEO,Active
1621,Italy,Payload,2012,1599.56,LEO,Inactive
1622,Japan,Payload,2001,20037.41,GEO,Active
1623,Germany,Payload,2002,14482.62,MEO,Active
1624,United States,Payload,1978,21854.52,GEO,Inactive
1625,France,Debris,1989,27684.13,GEO,Active
1626,Italy,Payload,1982,6697.68,MEO,Active
1627,India,Debris,1963,16226.36,MEO,Active
1628,France,Debris,1979,24405.71,GEO,Inactive
1629,Russia,Payload,1985,6669.84,MEO,Inactive
1630,Australia,Payload,2006,30847.73,GEO,Active
1631,Israel,Payload,1966,34890.42,GEO,Active
1632,Italy,Debris,2001,30681.77,GEO,Inactive
1633,China,Payload,2008,2159.8,MEO,Active
1634,Canada,Payload,1973,21484.77,GEO,Active
1635,Israel,Payload,2003,21157.42,GEO,Active
1636,Italy,Payload,2023,17854.27,MEO,Active
1637,Italy,Debris,1999,6085.48,MEO,Inactive
1638,Japan,Debris,1966,28656.74,GEO,Active
1639,China,Payload,1971,34098.81,GEO,Inactive
1640,South Korea,Debris,1986,12108.42,MEO,Inactive
1641,India,Payload,2023,353.64,LEO,Active
1642,Russia,Payload,1962,18431.42,MEO,Active
1643,South Korea,Debris,1993,1255.74,LEO,Active
1644,India,Debris,1968,20539.67,GEO,Inactive
1645,UAE,Debris,1996,16228.94,MEO,Active
1646,France,Payload,1984,21631.12,GEO,Inactive
1647,Brazil,Rocket Body,1963,27076.75,GEO,Active
1648,Italy,Payload,1975,30133.11,GEO,Active
1649,Australia,Payload,1982,33718.91,GEO,Active
1650,United States,Payload,1997,30208.36,GEO,Inactive
1651,Canada,Payload,1991,1519.97,LEO,Active
1652,UAE,Debris,2017,15004.02,MEO,Active
1653,Italy,Payload,1992,21127.71,GEO,Inactive
1654,Canada,Debris,2002,35871.85,GEO,Inactive
1655,Italy,Debris,1980,29171.47,GEO,Active
1656,UAE,Payload,1995,17273.86,MEO,Inactive
1657,Canada,Debris,2008,2109.78,MEO,Inactive
1658,Brazil,Debris,1970,25512.12,GEO,Inactive
1659,Italy,Debris,2008,1944.58,LEO,Inactive
1660,Australia,Payload,1988,21143.81,GEO,Active
1661,UAE,Debris,2025,29836.43,GEO,Inactive
1662,Germany,Payload,2004,6319.65,MEO,Inactive
1663,Japan,Debris,1994,20761.39,GEO,Active
1664,Japan,Payload,2013,29733.31,GEO,Inactive
1665,India,Payload,1980,7593.59,MEO,Active
1666,Israel,Debris,1979,19727.79,MEO,Inactive
1667,United States,Debris,1996,31175.77,GEO,Active
1668,Russia,Payload,1988,9410.83,MEO,Active
1669,France,Debris,1990,19962.76,MEO,Inactive
1670,Japan,Payload,1981,6538.79,MEO,Active
1671,South Korea,Payload,1973,2424.92,MEO,Inactive
1672,China,Payload,2002,35685.65,GEO,Active
1673,Japan,Payload,2009,35957.66,GEO,Inactive
1674,United States,Debris,1970,15206.96,MEO,Inactive
1675,UAE,Rocket Body,1995,5750.87,MEO,Active
1676,India,Debris,1961,20425.61,GEO,Inactive
1677,UAE,Rocket Body,1993,15541.58,MEO,Active
1678,Australia,Rocket Body,1988,12417.62,MEO,Active
1679,UAE,Payload,1984,28349.57,GEO,Inactive
1680,China,Rocket Body,2025,20079.71,GEO,Active
1681,Israel,Debris,2009,6686.16,MEO,Active
1682,Japan,Debris,2013,23356.46,GEO,Inactive
1683,Brazil,Payload,1987,9543.59,MEO,Active
1684,Brazil,Debris,1999,35907.61,GEO,Active
1685,South Korea,Debris,1967,4760.65,MEO,Inactive
1686,Germany,Payload,1961,8183.9,MEO,Active
1687,South Korea,Rocket Body,1991,28969.31,GEO,Inactive
1688,Australia,Rocket Body,2000,34570.28,GEO,Active
1689,UAE,Payload,2012,3181.63,MEO,Active
1690,Germany,Payload,1993,12464.0,MEO,Inactive
1691,UAE,Rocket Body,1971,35581.82,GEO,Active
1692,Germany,Rocket Body,1999,7997.54,MEO,Active
1693,Brazil,Debris,2001,8701.61,MEO,Inactive
1694,Israel,Rocket Body,1969,2178.7,MEO,Active
1695,France,Debris,2019,21271.94,GEO,Inactive
1696,Israel,Debris,1972,21778.21,GEO,Inactive
1697,Canada,Debris,2008,20194.16,GEO,Inactive
1698,Canada,Debris,2024,577.7,LEO,Inactive
1699,Japan,Payload,2015,27516.31,GEO,Inactive
1700,Germany,Payload,1965,21693.82,GEO,Active
1701,United States,Payload,2011,31019.48,GEO,Inactive
1702,Brazil,Debris,1968,16019.71,MEO,Active
1703,Japan,Payload,1996,8646.09,MEO,Active
1704,Russia,Debris,1971,34921.47,GEO,Active
1705,Russia,Payload,1988,971.54,LEO,Inactive
1706,Canada,Payload,1986,30562.82,GEO,Inactive
