id,country,object_type,launch_year,growth_year,altitude_km,min_altitude_km,max_altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40
846,China,Debris,2008,2008,6170.27,6148.86,6180.79,MEO,Active,763.77,852.18,848.12,685.54,766.79,351.43,766.72,836.96,30.48,971.62,498.24,127.99,20.21,320.59,383.55,363.3,645.65,956.63,745.08,183.65,792.45,26.78,80.28,824.35,673.18,110.55,137.03,174.64,918.44,228.51,594.52,71.49,896.82,717.91,547.93,977.15,944.0,690.13,97.08,859.28
847,Italy,Payload,2005,2005,34813.48,34801.49,34826.73,GEO,Active,694.48,774.18,963.68,731.58,334.11,220.86,829.04,762.37,727.74,485.12,490.99,259.69,728.45,788.56,447.86,946.79,812.49,607.5,405.13,371.9,454.42,146.16,841.48,538.35,300.68,900.37,763.49,511.42,167.39,128.73,850.82,160.0,470.45,768.34,666.64,566.14,769.58,360.52,296.96,856.12
848,China,Payload,1999,1999,4792.72,4766.21,4842.29,MEO,Inactive,752.38,645.37,195.13,444.35,105.24,405.07,298.42,991.31,218.0,978.92,331.27,14.76,643.95,175.39,37.73,954.44,474.67,408.57,960.84,665.35,126.29,240.91,905.89,678.85,912.79,263.98,792.42,395.68,383.15,741.32,871.65,594.83,274.43,172.0,302.44,957.85,713.85,439.02,86.81,576.19
849,Canada,Debris,2013,2013,19071.72,19071.56,19083.29,MEO,Active,961.14,343.48,715.64,193.19,289.52,208.36,244.84,515.07,934.4,785.42,111.28,165.05,378.35,165.91,278.63,470.64,25.61,87.39,99.79,642.94,742.32,843.69,875.4,300.32,749.06,504.35,345.83,60.65,975.67,781.4,240.97,16.91,534.57,241.1,381.29,148.47,897.0,531.86,797.8,795.09
850,India,Debris,1991,1991,12314.18,12297.22,12337.31,MEO,Inactive,648.39,319.26,976.91,766.37,997.55,514.11,998.6,724.77,962.49,453.69,191.25,678.94,87.28,879.18,492.67,540.41,539.28,920.17,994.63,376.18,658.6,356.11,713.34,703.69,30.2,517.72,440.42,964.38,117.07,931.73,39.74,620.41,50.82,788.91,505.94,496.8,714.33,353.3,441.4,450.94
851,India,Payload,1997,1997,6667.73,6631.92,6682.94,MEO,Inactive,919.27,780.01,206.47,805.12,659.75,382.2,373.98,76.76,474.83,950.55,280.99,92.78,802.46,522.17,78.02,247.15,405.83,153.31,275.97,292.86,152.83,807.42,541.97,842.41,616.55,186.59,180.91,732.46,210.52,767.39,168.68,701.39,565.5,57.25,744.26,88.47,363.6,698.19,168.74,738.81
852,South Korea,Payload,2007,2007,33015.17,32978.72,33034.18,GEO,Active,870.83,228.91,985.47,407.9,83.99,469.45,858.77,460.25,889.68,966.08,219.32,140.25,957.84,45.91,975.41,89.29,43.39,811.5,975.17,748.63,351.73,702.05,637.04,505.93,549.26,98.24,856.81,827.29,649.7,808.34,413.39,473.34,743.18,130.36,351.09,974.28,794.17,667.11,746.54,186.3
853,United Kingdom,Rocket Body,2017,2017,23909.97,23889.13,23941.32,GEO,Active,423.31,901.01,339.73,156.26,69.67,992.53,731.59,41.7,181.61,315.82,243.64,566.61,344.08,811.11,157.46,790.62,525.33,684.84,866.01,338.76,387.1,408.79,139.6,843.1,499.8,666.44,187.37,449.05,973.4,883.65,249.82,489.92,554.28,873.34,776.07,988.55,175.33,175.22,302.02,235.71
854,Russia,Payload,2014,2014,32715.2,32707.95,32726.25,GEO,Active,837.57,514.55,216.31,592.51,34.2,399.84,192.77,209.18,418.78,786.26,795.39,265.08,635.21,814.18,698.31,378.59,68.73,384.66,409.93,815.01,6.41,771.85,834.66,342.12,61.75,663.72,245.85,248.06,366.8,535.16,407.79,91.36,26.67,386.25,431.97,950.45,277.97,659.38,678.38,741.9
855,India,Debris,1997,1997,20623.63,20588.59,20644.77,GEO,Inactive,345.7,580.4,373.98,441.65,975.99,540.67,842.33,2.2,0.18,630.1,152.52,93.19,182.89,851.13,695.62,881.17,55.16,732.15,17.53,435.52,746.66,758.38,239.4,636.65,297.18,245.8,388.18,559.78,780.76,407.96,329.13,541.74,456.98,565.71,617.51,610.17,719.8,912.36,208.27,712.72
856,Russia,Debris,1996,1996,13298.91,13268.62,13308.81,MEO,Active,107.44,492.16,730.68,853.16,922.84,692.01,768.3,587.4,300.97,321.9,47.22,892.39,411.66,704.58,588.67,115.38,350.12,351.09,497.25,869.16,688.03,676.76,179.9,694.84,554.56,499.14,111.26,856.61,582.99,319.69,554.94,659.54,705.62,705.56,635.3,293.01,960.74,123.55,381.88,86.36
857,South Korea,Rocket Body,2010,2010,24746.89,24718.93,24778.36,GEO,Active,807.53,614.94,224.87,539.79,923.65,497.04,842.31,608.24,93.23,238.53,559.73,746.5,633.69,536.09,653.79,641.29,631.24,728.98,905.13,977.04,585.67,709.14,389.44,264.96,135.38,376.88,680.19,506.69,525.19,216.07,777.21,929.16,640.5,158.82,170.71,539.89,412.13,122.99,457.52,877.52
858,Germany,Debris,2016,2016,17599.42,17564.97,17626.61,MEO,Inactive,199.06,91.84,300.77,943.29,263.5,294.13,494.9,207.43,486.79,203.5,145.96,906.07,296.65,882.17,287.73,804.1,424.66,321.33,425.25,795.84,725.9,72.51,572.04,141.35,597.0,660.32,814.82,292.71,969.41,977.94,707.03,571.91,670.21,212.24,778.01,349.73,110.19,678.17,824.33,213.17
859,France,Rocket Body,2021,2021,19250.28,19214.58,19294.84,MEO,Inactive,147.42,41.98,767.05,332.63,807.9,69.3,763.28,441.44,807.95,422.79,38.21,340.22,622.13,841.98,333.54,221.72,669.29,208.92,642.34,857.52,196.59,733.62,155.23,78.63,511.1,330.33,401.64,151.59,709.8,659.52,339.49,861.36,725.87,969.85,200.18,222.08,364.51,454.9,333.85,898.59
860,Italy,Payload,2009,2009,19287.55,19238.03,19304.85,MEO,Active,893.05,841.51,81.15,226.42,970.94,375.26,440.41,765.01,764.93,127.51,927.95,882.26,752.15,945.89,5.61,95.85,498.22,485.71,820.23,325.22,391.98,562.39,443.6,19.78,836.76,671.02,486.02,47.49,337.04,518.32,59.38,406.39,315.58,908.05,669.97,642.78,182.45,264.88,808.41,118.05
861,Canada,Rocket Body,2001,2001,9732.83,9687.75,9779.21,MEO,Inactive,39.75,487.84,336.65,722.98,437.92,592.83,898.27,770.2,390.9,759.26,291.24,965.81,364.76,239.38,311.35,293.38,57.03,850.58,710.73,837.21,859.58,332.29,759.84,149.05,402.36,804.89,574.42,923.5,8.62,767.67,782.68,626.66,604.49,313.74,942.15,443.84,387.5,157.72,213.51,961.11
862,Australia,Debris,2002,2002,5917.06,5874.83,5954.05,MEO,Active,631.94,232.69,980.96,88.68,186.69,621.2,41.29,309.79,211.85,230.24,475.49,99.93,52.36,317.76,211.48,931.23,195.38,481.31,501.27,976.34,937.54,434.07,363.69,334.28,738.04,764.27,226.98,443.44,602.39,426.92,537.46,500.16,802.13,45.05,853.47,975.7,34.24,751.97,890.73,94.7
863,Russia,Rocket Body,2007,2007,6227.59,6181.02,6274.74,MEO,Active,567.71,253.52,567.56,41.76,936.42,601.48,635.62,114.07,601.46,716.64,427.73,48.86,304.86,218.12,363.79,35.48,161.74,916.14,582.53,593.13,996.21,901.46,343.7,54.13,559.58,774.81,671.7,809.31,359.25,759.05,3.93,109.21,703.89,453.36,225.08,441.93,908.88,721.42,929.92,945.07
864,Canada,Debris,1999,1999,11884.96,11872.72,11911.58,MEO,Active,543.66,829.26,205.09,234.76,408.78,370.6,548.36,465.55,594.68,193.08,100.04,59.14,631.5,795.0,221.94,363.63,88.55,988.79,197.92,138.82,780.14,886.52,597.66,365.48,548.02,703.89,627.5,375.65,413.63,667.9,654.92,18.08,133.05,949.18,175.2,315.79,542.02,835.8,120.05,115.94
865,India,Payload,2016,2016,872.5,852.18,884.02,LEO,Inactive,373.87,313.4,296.6,717.77,668.97,468.05,395.39,69.38,990.22,657.69,741.79,759.8,570.13,201.53,947.6,512.45,975.04,502.02,725.57,528.99,577.08,523.73,249.62,149.42,916.37,806.36,418.47,952.97,505.64,655.26,936.88,321.87,332.91,155.0,819.95,951.59,226.07,810.02,837.91,165.58
866,France,Rocket Body,1991,1991,33213.12,33182.93,33257.12,GEO,Active,337.7,401.01,847.6,489.68,965.72,930.37,590.72,213.01,557.86,892.93,218.88,519.76,856.35,545.42,493.62,57.36,282.97,120.35,634.34,434.19,94.58,523.37,334.54,869.91,86.55,380.18,975.28,901.53,228.73,17.37,50.16,333.14,101.06,6.99,989.23,370.81,974.55,981.59,311.91,419.86
867,China,Payload,2002,2002,29777.68,29731.5,29795.8,GEO,Active,801.46,742.97,702.45,672.46,575.01,458.42,5.05,144.25,359.12,823.92,399.25,446.82,954.13,781.49,18.42,648.17,685.94,696.45,87.77,347.08,641.78,208.88,404.67,388.32,174.59,110.47,232.94,445.53,769.61,507.08,68.65,736.87,660.51,101.4,138.67,785.56,691.56,141.19,224.83,699.8
868,Italy,Debris,2021,2021,21128.64,21107.18,21161.51,GEO,Inactive,44.06,616.96,533.2,559.28,305.46,637.84,129.87,395.27,301.95,698.73,753.43,524.55,192.87,482.02,92.21,944.76,520.66,519.45,105.35,707.31,712.23,74.96,834.64,711.07,302.41,816.7,389.26,8.78,100.46,266.15,683.96,178.45,474.14,595.82,314.33,545.95,537.99,177.47,144.02,432.99
869,Canada,Debris,1996,1996,28373.19,28330.27,28396.21,GEO,Active,698.73,703.43,273.04,157.44,464.29,559.01,548.05,445.21,86.07,980.32,319.64,874.5,88.12,663.67,31.5,221.89,81.27,284.87,765.38,19.39,789.6,341.32,522.03,737.84,507.77,974.89,145.57,648.54,697.31,533.92,895.88,449.65,735.97,227.99,900.26,654.67,733.66,802.28,480.05,475.52
870,India,Rocket Body,2001,2001,1662.76,1620.6,1678.41,LEO,Inactive,108.13,349.8,532.44,466.71,634.39,491.21,895.51,926.79,629.36,177.14,982.26,335.06,241.63,793.66,386.95,647.96,319.0,384.29,745.82,97.93,386.6,764.19,549.7,120.64,12.04,57.91,315.47,986.62,916.91,445.35,641.12,376.62,395.18,600.44,315.59,444.45,864.24,510.51,13.95,676.24
871,United States,Payload,2012,2012,9442.36,9404.14,9467.3,MEO,Active,104.61,272.57,90.87,657.44,905.68,321.97,511.81,770.26,661.31,103.64,332.29,913.75,598.0,47.25,31.84,817.4,727.89,103.13,815.51,202.71,85.04,162.12,549.32,174.99,207.69,446.93,835.78,640.97,197.96,848.83,102.17,42.54,503.74,494.05,674.31,268.51,280.53,636.25,210.68,511.98
872,UAE,Rocket Body,2021,2021,9765.9,9756.6,9771.18,MEO,Inactive,588.75,435.5,705.94,222.38,102.82,526.04,383.56,599.63,613.58,934.22,37.32,143.18,218.27,422.3,37.04,320.1,550.06,775.4,100.75,85.21,771.94,990.4,994.87,519.65,118.32,348.76,923.99,400.79,582.37,595.25,540.31,507.6,403.6,439.21,114.59,393.07,175.63,720.15,518.55,797.45
873,Russia,Rocket Body,1999,1999,32088.15,32064.11,32096.0,GEO,Active,165.05,156.88,604.27,502.39,622.97,154.02,579.98,126.07,734.53,242.07,400.34,481.8,763.1,958.22,936.86,697.8,77.85,199.65,478.26,67.09,44.26,225.97,451.89,360.68,546.0,245.3,544.1,468.12,732.43,574.0,109.42,341.78,507.73,72.54,545.2,620.96,118.5,717.45,580.56,209.51
874,United States,Debris,1993,1993,7846.23,7825.67,7868.76,MEO,Active,451.29,940.9,455.84,309.2,255.92,931.19,849.09,495.53,248.8,770.66,263.76,732.45,523.3,584.02,427.22,963.47,340.74,891.93,529.22,859.66,931.61,845.29,363.42,795.24,200.16,675.74,398.81,286.43,70.93,504.37,432.42,448.79,456.15,507.35,556.29,804.42,508.61,583.26,176.79,612.74
875,Australia,Rocket Body,1992,1992,11052.5,11048.54,11062.28,MEO,Inactive,571.9,710.92,357.25,359.24,187.37,638.85,276.21,990.8,105.9,210.7,885.51,789.65,871.01,541.94,739.17,304.89,892.59,263.06,579.0,119.99,663.08,996.86,10.03,693.5,976.75,47.19,828.81,943.74,985.28,284.28,790.71,111.09,966.96,803.54,231.64,16.45,401.78,21.22,130.91,50.82
876,India,Debris,2017,2017,25745.22,25712.96,25776.65,GEO,Inactive,464.47,176.85,363.3,949.3,220.08,246.79,442.17,615.4,445.5,925.22,254.89,107.55,112.66,387.56,743.81,560.35,285.07,649.74,638.61,343.38,283.16,763.41,969.17,698.85,175.19,402.79,859.02,688.0,271.63,688.1,213.25,4.67,747.83,871.34,175.84,130.47,416.2,808.3,376.51,107.18
877,India,Debris,2018,2018,21237.91,21219.95,21260.6,GEO,Inactive,147.37,843.56,488.39,617.48,606.8,673.27,279.44,131.16,938.84,990.69,746.81,339.73,920.99,209.31,934.1,171.01,51.34,280.84,462.02,518.21,374.67,79.01,397.4,125.15,183.54,458.37,563.04,800.61,616.5,834.67,900.63,644.09,997.61,646.95,682.45,379.5,296.03,985.62,187.68,704.91
878,South Korea,Debris,1990,1990,24797.37,24781.3,24839.71,GEO,Inactive,720.35,196.25,371.6,682.52,576.07,660.48,227.88,883.6,649.77,120.99,683.79,916.48,105.37,747.48,974.63,792.35,204.99,658.8,487.94,781.34,244.81,393.7,116.43,511.17,775.05,794.49,2.57,623.82,109.13,885.25,660.46,903.56,83.1,180.36,918.83,917.72,478.14,563.88,661.6,404.31
879,United States,Debris,1997,1997,29342.53,29323.68,29358.3,GEO,Active,17.88,99.18,667.09,800.5,969.33,31.48,849.31,856.24,787.75,430.15,718.38,557.94,651.36,891.93,949.14,58.64,685.41,437.21,292.76,738.41,308.29,878.56,879.04,817.31,123.43,548.85,232.09,865.75,72.75,990.7,279.98,212.7,43.43,830.89,766.28,270.89,866.74,651.14,573.71,752.93
880,Japan,Payload,2014,2014,12408.69,12395.15,12423.58,MEO,Active,891.92,781.87,723.69,680.21,167.81,556.43,826.12,79.75,591.73,472.13,261.34,255.9,971.15,348.14,627.72,182.56,572.48,332.9,391.66,336.9,980.67,343.14,204.13,828.49,388.01,602.71,479.58,744.33,251.43,54.33,188.1,641.46,418.81,275.49,964.78,984.46,410.16,871.99,372.38,98.03
881,Israel,Payload,1990,1990,21634.81,21624.85,21678.37,GEO,Inactive,594.99,823.47,415.93,257.54,919.74,293.28,324.62,792.9,627.31,585.57,539.54,801.11,448.99,295.57,746.09,228.73,684.91,724.9,445.17,416.81,879.99,564.98,378.35,535.94,885.18,128.67,306.51,776.97,843.19,993.26,124.13,971.24,710.9,681.24,823.29,172.12,184.21,116.02,257.9,861.79
882,India,Rocket Body,1992,1992,25376.02,25373.55,25415.04,GEO,Active,802.6,757.69,817.41,199.57,829.44,148.52,342.22,530.28,326.02,989.61,261.72,957.19,812.68,488.47,143.11,231.1,905.12,322.26,700.32,36.44,669.84,140.63,875.48,102.06,533.76,781.77,180.47,614.21,251.61,165.48,134.1,716.34,497.29,5.38,44.32,318.43,821.28,187.23,79.26,685.02
883,China,Rocket Body,2021,2021,3774.13,3743.76,3822.59,MEO,Inactive,547.76,135.37,713.28,482.24,790.1,765.03,887.93,890.82,815.15,167.44,801.77,10.57,508.2,721.91,939.26,762.6,967.34,606.46,381.07,835.29,737.77,166.19,137.82,262.73,323.67,978.56,995.36,303.19,344.02,612.5,718.36,575.62,783.76,718.44,183.95,277.21,761.51,813.84,188.22,367.52
884,Italy,Debris,2015,2015,6760.3,6748.78,6807.17,MEO,Inactive,690.64,887.65,928.32,294.12,789.46,221.65,327.35,812.5,777.64,390.6,84.71,128.36,925.16,508.99,438.69,392.39,119.48,53.15,196.59,841.89,928.84,88.91,229.78,621.05,208.6,118.62,901.58,262.85,127.29,410.61,381.83,516.65,722.27,234.88,765.24,648.49,919.97,725.13,330.23,212.56
885,Italy,Rocket Body,2023,2023,10428.56,10381.4,10440.88,MEO,Active,432.27,489.59,756.59,440.09,9.66,519.19,227.51,287.96,921.26,75.04,459.63,586.03,191.31,841.94,579.87,585.7,561.49,380.3,105.13,243.1,247.44,1.17,202.21,920.74,186.07,901.18,2.39,194.89,992.92,158.99,993.95,138.1,909.42,364.34,561.29,258.28,533.29,100.5,551.49,978.16
886,Russia,Debris,2009,2009,24598.4,24568.54,24618.66,GEO,Active,190.87,105.22,26.28,495.89,621.71,282.99,255.17,755.03,143.66,183.35,904.72,8.8,551.48,635.0,542.84,404.26,781.09,196.82,678.94,108.62,337.82,500.66,994.65,229.72,119.12,823.56,738.21,189.96,299.7,616.51,394.54,56.42,279.13,971.31,923.27,658.16,834.84,342.19,630.47,539.9
887,Japan,Payload,2021,2021,34369.02,34366.31,34373.52,GEO,Active,568.54,782.38,968.57,199.25,333.38,817.53,959.99,145.11,269.14,937.52,947.79,611.85,85.05,131.04,156.95,39.8,451.06,78.85,683.05,110.85,555.43,432.65,904.31,802.69,695.89,963.67,607.61,523.91,236.57,794.75,281.37,318.28,615.75,916.31,425.18,943.98,372.07,369.32,42.99,773.92
888,United Kingdom,Payload,2000,2000,22218.57,22199.67,22226.62,GEO,Inactive,355.53,562.08,598.59,745.65,62.42,30.5,773.58,973.98,435.0,473.31,770.79,104.87,638.82,865.03,706.54,78.08,855.14,74.91,717.05,919.64,382.17,374.2,94.18,213.48,856.15,426.97,989.57,779.29,125.25,682.54,606.2,883.29,181.22,993.27,630.07,459.44,685.03,558.71,174.73,836.55
889,Israel,Rocket Body,2021,2021,27670.08,27620.19,27715.48,GEO,Inactive,343.81,710.91,895.78,39.78,555.63,741.93,557.3,336.94,864.45,242.15,937.31,849.37,84.07,117.81,831.53,505.26,616.32,647.49,111.13,374.42,667.42,820.25,125.85,730.66,583.72,3.27,127.73,455.5,472.85,589.97,763.91,239.4,594.83,734.33,286.99,193.78,985.62,76.91,744.6,902.88
890,Brazil,Debris,2022,2022,9218.9,9213.48,9239.33,MEO,Inactive,139.69,971.98,883.04,975.4,403.51,97.94,314.49,465.58,752.52,895.49,714.07,752.0,142.77,293.28,12.38,646.52,790.94,42.77,348.15,406.85,367.76,577.17,761.99,879.49,488.24,645.8,651.87,497.51,762.83,871.47,840.86,766.83,913.4,848.55,833.49,666.74,21.31,586.26,324.77,500.29
891,Canada,Rocket Body,1991,1991,33674.16,33661.07,33715.25,GEO,Active,481.43,465.72,479.91,766.36,590.27,550.05,159.02,819.07,40.96,861.73,419.68,41.24,678.47,152.06,602.94,788.99,572.35,559.36,429.75,908.18,376.23,163.47,78.96,750.88,299.34,646.06,770.84,38.69,74.71,408.32,291.97,885.87,431.33,492.33,807.38,729.83,273.36,545.16,676.62,574.04
892,Israel,Payload,2007,2007,2325.91,2276.84,2331.52,MEO,Inactive,243.87,836.63,977.0,14.03,354.78,754.66,749.57,872.43,851.22,204.59,597.09,785.4,277.25,156.71,153.75,352.61,899.1,44.14,138.07,415.5,842.78,378.83,761.66,436.59,604.98,220.17,704.32,15.51,992.06,465.11,151.37,740.09,309.27,432.16,58.69,16.96,694.39,959.97,526.47,77.26
893,France,Rocket Body,2010,2010,12644.6,12602.45,12662.08,MEO,Inactive,410.76,135.55,926.07,82.6,651.56,748.04,109.44,712.01,424.69,51.34,824.86,3.18,75.72,331.06,93.64,674.48,63.33,46.41,494.05,266.89,466.82,633.61,381.6,624.63,333.59,90.75,539.1,615.8,968.73,370.89,903.01,18.07,964.25,95.62,642.5,20.45,739.31,534.11,647.41,173.96
894,Russia,Debris,1999,1999,15215.13,15177.58,15250.52,MEO,Inactive,941.64,868.24,656.36,338.61,805.99,442.09,11.1,720.4,829.82,351.27,671.21,295.74,882.16,996.11,423.52,882.83,328.69,598.22,576.99,771.49,728.06,664.63,860.2,645.97,757.67,838.95,533.23,544.09,547.48,416.8,988.79,724.47,729.43,637.9,995.22,397.1,669.63,42.63,165.16,597.58
895,United Kingdom,Debris,2015,2015,29825.71,29799.18,29850.84,GEO,Active,209.57,139.09,718.9,725.96,362.64,197.24,785.82,817.55,660.4,549.29,368.58,811.3,703.9,787.14,132.08,126.59,953.16,717.35,840.85,211.75,589.58,464.82,545.23,733.1,714.96,328.52,903.32,659.01,536.95,47.11,847.38,842.22,954.51,210.9,604.09,210.45,837.36,952.8,118.79,788.24
896,Brazil,Rocket Body,2020,2020,4536.0,4513.94,4579.47,MEO,Inactive,689.73,79.76,605.18,858.3,807.74,980.98,199.53,435.09,411.65,923.34,149.35,983.11,896.58,663.38,607.96,353.69,261.12,741.53,259.26,15.21,879.53,317.43,144.58,914.28,483.02,899.56,671.62,127.99,310.83,862.22,694.06,876.6,311.81,303.6,546.26,750.07,448.42,652.72,589.12,61.87
897,Germany,Debris,2004,2004,22481.2,22461.51,22489.24,GEO,Inactive,996.29,743.65,911.79,924.76,511.15,424.97,975.13,736.45,378.57,602.12,482.98,983.29,672.39,387.93,6.93,194.55,813.08,923.68,81.5,823.27,918.46,207.15,680.83,607.71,840.45,810.04,373.22,709.05,48.42,956.03,493.16,637.34,203.36,411.67,214.88,567.45,474.33,319.27,931.53,841.87
898,Israel,Debris,1990,1990,4337.26,4328.19,4348.57,MEO,Active,355.55,418.0,786.85,930.48,249.38,959.67,610.74,794.3,313.44,558.48,659.19,938.88,293.28,314.81,9.48,826.86,699.62,771.14,138.21,676.94,856.65,521.53,258.56,17.58,604.8,262.84,420.7,118.66,626.41,984.57,501.76,614.45,836.34,631.89,744.73,3.14,114.88,990.37,488.42,753.94
899,UAE,Rocket Body,1999,1999,9564.53,9554.77,9594.63,MEO,Active,123.29,498.73,973.28,651.73,986.67,670.07,799.47,264.2,71.38,948.94,36.27,473.98,296.36,604.93,898.44,403.14,297.68,15.99,168.49,297.64,422.03,573.95,464.22,761.27,932.58,899.82,287.28,895.27,852.84,371.97,15.38,12.02,83.46,455.1,740.15,838.25,426.96,348.4,528.39,388.0
900,Australia,Debris,2015,2015,28878.33,28843.09,28907.16,GEO,Inactive,660.24,824.96,240.34,346.47,520.58,713.0,213.97,499.4,143.89,620.88,499.92,855.27,730.27,991.83,593.77,714.38,655.91,449.42,489.05,125.12,809.42,471.39,365.0,718.33,48.64,528.59,426.01,662.53,914.86,14.41,813.92,390.16,234.8,304.35,32.76,602.06,857.12,127.89,570.77,351.16
901,Australia,Payload,2003,2003,6154.09,6144.56,6174.85,MEO,Inactive,910.46,191.12,100.65,959.4,322.98,283.11,999.88,611.43,841.05,906.93,465.76,954.05,301.65,872.67,55.72,153.95,662.56,845.41,308.92,396.96,177.9,57.17,465.22,299.28,770.43,442.57,930.9,815.98,796.81,114.72,2.48,543.08,528.04,672.81,97.18,606.81,190.38,320.27,54.91,146.93
902,UAE,Debris,1992,1992,23883.2,23853.29,23930.26,GEO,Active,281.93,862.79,120.25,486.45,666.8,181.08,248.49,997.68,921.15,692.04,72.46,164.85,671.36,96.56,753.34,2.98,289.3,899.89,500.37,966.86,483.91,931.26,908.28,406.59,154.43,374.49,35.96,433.0,227.27,108.56,8.4,624.48,199.33,169.6,468.85,467.12,97.44,125.57,983.48,628.34
903,Brazil,Rocket Body,1995,1995,29269.31,29263.77,29291.34,GEO,Active,106.77,687.81,527.65,646.94,527.74,566.67,521.64,958.96,912.55,263.48,587.23,622.33,441.96,393.57,543.91,40.39,839.21,150.47,220.48,285.25,492.58,74.91,215.82,314.46,848.14,535.22,942.36,921.7,615.24,687.46,252.83,51.64,805.28,591.86,20.89,70.32,330.24,879.04,485.55,898.4
904,South Korea,Rocket Body,2010,2010,9067.22,9018.35,9100.77,MEO,Inactive,295.26,958.62,467.49,847.87,808.6,876.69,471.94,290.57,419.37,288.46,48.86,559.72,784.67,728.79,890.79,327.99,163.2,524.09,258.55,920.19,537.15,269.45,388.43,257.17,542.49,392.38,859.21,993.78,705.47,262.01,583.18,508.14,499.67,458.93,231.2,236.78,315.39,827.41,623.56,19.5
905,Brazil,Payload,2006,2006,1344.1,1305.32,1385.67,LEO,Active,724.81,520.69,772.39,659.79,177.08,191.42,35.14,50.15,419.62,545.18,485.63,107.5,158.31,603.34,297.41,245.42,208.04,127.44,296.39,818.42,880.21,705.9,458.48,259.53,681.01,106.69,600.73,405.19,385.48,335.97,700.37,136.64,129.03,736.68,552.36,155.85,292.3,6.15,934.71,880.7
906,United Kingdom,Rocket Body,1990,1990,25405.71,25371.06,25450.73,GEO,Active,670.21,294.27,513.17,449.34,135.52,327.05,242.72,647.15,63.37,101.66,637.28,61.38,629.47,14.6,11.58,646.75,709.89,226.87,617.45,991.11,961.12,423.65,478.57,310.53,59.89,570.09,579.42,242.42,499.41,815.31,96.8,323.04,408.23,396.85,399.12,438.36,793.21,822.22,29.12,766.56
907,Brazil,Payload,2013,2013,2657.57,2629.34,2682.16,MEO,Active,624.24,731.97,558.07,352.47,909.88,49.33,932.01,645.72,190.44,501.88,414.8,640.18,224.26,786.47,914.87,731.27,96.66,611.66,13.7,898.25,679.98,646.78,471.42,271.87,13.38,241.9,346.44,770.6,393.11,512.21,993.83,831.11,911.64,481.94,217.59,339.57,359.58,599.09,432.96,92.59
908,Canada,Payload,2008,2008,4622.56,4597.04,4655.76,MEO,Active,744.77,790.48,524.25,120.66,967.2,556.5,141.96,88.36,695.52,68.59,656.23,99.92,688.91,294.53,966.36,75.98,785.44,91.82,155.19,121.68,543.06,8.46,855.68,547.02,296.27,656.52,876.8,110.64,42.86,882.91,152.55,268.2,146.0,588.31,954.96,764.98,134.57,744.15,421.92,808.05
909,Israel,Payload,1995,1995,9547.37,9546.62,9567.32,MEO,Inactive,631.84,684.9,407.2,690.92,860.26,798.15,864.21,250.66,146.98,714.91,687.87,876.66,512.04,528.12,940.69,901.24,91.47,220.99,178.08,209.93,541.01,985.56,990.7,398.04,656.65,54.48,1.39,511.55,915.27,811.09,885.59,215.01,619.78,235.35,405.5,5.51,508.33,737.09,440.31,459.84
910,UAE,Payload,1997,1997,9750.46,9703.03,9795.31,MEO,Inactive,138.46,361.6,711.16,665.66,511.04,605.44,560.58,157.84,882.16,655.07,562.86,512.74,844.89,810.23,666.51,196.86,634.79,946.99,570.05,561.04,569.13,568.28,496.48,695.57,22.26,316.96,792.36,730.1,344.45,795.54,638.36,717.59,412.01,699.79,864.14,444.33,245.59,305.87,421.68,659.42
911,UAE,Debris,2001,2001,28216.93,28186.7,28242.91,GEO,Inactive,16.23,567.82,644.3,688.58,240.38,149.8,13.57,930.76,984.29,681.03,426.58,920.2,177.68,616.48,758.53,129.37,546.47,315.75,803.39,820.74,348.92,244.45,175.97,898.77,770.37,429.84,108.8,161.92,242.09,597.32,567.98,189.24,130.22,155.23,260.41,803.57,514.45,316.88,385.88,832.36
912,Israel,Payload,2024,2024,18702.01,18661.46,18713.58,MEO,Inactive,461.61,271.28,213.23,584.48,711.31,464.59,771.27,438.49,37.51,263.79,701.42,138.79,670.86,460.36,773.22,919.34,737.79,121.2,413.04,889.13,223.22,940.35,537.62,997.34,259.96,980.0,632.28,261.29,889.17,722.62,571.41,696.52,677.84,541.56,811.55,311.58,584.22,858.24,803.54,693.35
913,Israel,Debris,2023,2023,13106.17,13056.27,13124.9,MEO,Active,780.94,604.22,822.09,976.68,952.53,810.23,654.56,763.07,633.63,637.52,618.56,63.6,841.81,155.78,514.56,680.56,908.2,729.87,838.8,576.21,186.82,30.51,768.21,994.35,216.01,44.81,961.81,909.74,560.04,347.55,62.43,871.26,42.82,282.6,815.84,976.0,793.62,897.09,695.68,335.32
