id,country,object_type,launch_year,altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43
450,Canada,Payload,1978,8577.7,MEO,Active,643.3,475.65,168.09,226.1,227.38,816.47,236.95,947.55,0.55,344.49,355.09,817.09,447.38,288.92,342.24,310.94,858.54,750.39,485.77,107.63,328.78,727.46,195.39,315.83,381.36,152.95,181.66,414.99,362.3,808.82,376.14,530.74,850.82,876.56,748.66,561.69,684.44,665.25,600.27,577.22,903.89,961.0,60.54
451,United States,Rocket Body,1994,2295.03,MEO,Inactive,590.01,556.33,249.36,977.79,387.7,677.2,538.21,911.13,970.92,31.72,27.51,529.14,609.19,479.06,13.46,363.69,765.68,292.22,254.29,476.46,751.07,240.45,235.18,592.95,175.36,936.42,474.95,901.89,117.86,912.65,135.41,302.81,588.75,118.45,554.49,226.82,742.16,78.8,417.4,380.04,325.6,963.83,235.69
452,Russia,Rocket Body,2014,9746.92,MEO,Inactive,452.49,377.19,137.99,783.81,554.48,204.61,507.47,476.95,133.32,761.81,532.85,656.21,143.0,103.56,869.77,5.73,500.1,630.57,124.17,501.23,509.11,52.5,834.26,200.39,408.36,765.96,56.11,445.84,802.12,403.23,236.63,910.42,762.42,517.56,318.25,216.97,179.88,954.18,942.55,750.38,519.11,883.52,534.81
453,Australia,Payload,1980,982.03,LEO,Inactive,544.64,576.51,356.48,104.79,857.56,826.75,281.83,283.17,683.12,355.56,279.21,618.47,959.37,681.37,264.93,135.41,378.3,93.41,913.92,81.89,55.54,179.71,359.3,133.15,399.53,1.59,547.67,566.11,480.5,505.66,773.93,665.3,564.34,698.02,62.52,228.45,485.33,607.45,295.71,808.91,3.34,264.87,704.52
454,Canada,Payload,2013,4407.02,MEO,Active,570.41,78.94,611.0,974.22,343.46,692.3,617.7,419.52,482.54,706.19,967.47,127.44,86.05,865.38,806.58,31.5,845.25,635.34,98.51,649.26,316.38,102.06,761.93,326.58,281.75,792.8,606.56,369.54,85.92,264.23,999.81,294.42,841.89,901.01,960.51,95.9,893.11,329.28,14.31,700.12,704.27,667.61,61.23
455,China,Payload,2009,23902.94,GEO,Active,380.03,425.0,643.68,341.41,990.09,639.07,626.43,278.12,135.37,544.16,750.66,371.4,62.02,653.41,399.14,417.24,201.62,211.94,889.24,39.75,896.66,608.78,699.73,933.25,179.8,418.07,639.01,75.21,465.2,361.84,730.1,358.2,150.78,559.09,669.19,564.95,711.89,61.39,126.92,565.35,385.21,892.02,764.84
456,United Kingdom,Rocket Body,1971,1036.94,LEO,Active,826.95,75.76,231.57,844.88,655.63,506.02,271.95,851.8,247.58,55.7,765.33,497.91,912.87,752.78,200.03,775.25,868.37,831.25,773.82,463.0,906.88,803.6,69.09,605.96,642.22,203.59,310.06,702.46,757.13,292.85,626.08,990.71,559.87,155.3,11.58,448.74,92.01,601.51,142.21,370.47,903.41,814.92,41.18
457,United Kingdom,Rocket Body,1980,20647.56,GEO,Inactive,423.72,429.91,919.37,948.97,460.08,543.15,157.14,632.33,533.78,109.81,409.47,373.07,178.72,254.62,938.46,80.88,685.57,915.37,399.88,606.61,377.31,147.2,824.65,612.91,25.59,400.95,951.94,177.15,420.07,467.31,780.18,591.71,781.88,391.98,980.81,575.16,920.19,167.09,842.19,922.62,937.14,460.16,505.58
458,UAE,Payload,2016,24915.82,GEO,Active,940.22,390.49,390.4,276.71,924.74,796.29,464.08,113.91,784.77,283.76,935.99,89.26,197.73,805.89,871.55,196.57,318.41,981.78,271.66,397.31,717.02,907.57,317.53,36.09,215.7,854.6,880.87,106.16,631.4,268.91,919.48,120.49,422.55,448.03,172.39,399.46,644.65,624.87,845.05,106.77,361.89,389.85,286.12
459,South Korea,Payload,1982,14614.13,MEO,Active,587.15,87.34,818.95,979.14,387.53,462.77,14.26,894.37,602.16,606.5,751.42,257.62,678.74,76.8,20.49,987.37,539.44,148.46,350.26,913.99,119.13,196.09,344.66,69.0,444.6,513.47,203.4,525.07,594.46,335.2,531.73,686.26,542.17,440.08,324.43,58.58,193.52,363.69,440.57,384.54,770.59,653.15,119.45
460,India,Rocket Body,2007,25221.12,GEO,Inactive,223.11,830.06,474.72,195.21,874.74,179.43,397.68,501.82,40.81,170.98,368.45,604.45,564.28,109.08,762.91,576.03,666.38,847.92,309.29,105.74,413.8,955.95,546.81,307.23,965.43,212.87,570.58,12.0,524.14,126.38,985.1,859.22,170.54,182.74,544.02,522.65,781.09,775.31,161.28,420.74,307.37,672.32,697.32
461,France,Debris,1973,1537.95,LEO,Active,748.04,654.35,116.4,896.59,634.65,700.15,481.0,82.21,692.59,842.94,623.33,597.04,727.86,646.2,627.01,82.89,484.96,36.61,496.53,640.75,660.14,444.67,681.25,224.47,14.87,808.29,844.98,987.47,706.11,782.61,478.34,421.59,851.23,969.21,941.58,404.81,625.5,903.78,465.24,184.42,604.23,241.9,578.05
462,United Kingdom,Debris,1989,23445.43,GEO,Active,586.48,567.98,923.81,961.71,962.67,532.51,878.62,740.33,420.18,909.31,598.76,240.52,427.14,923.28,676.18,346.66,378.42,887.39,601.17,376.0,911.36,163.87,430.22,287.8,399.07,692.69,696.3,679.89,351.63,342.32,410.24,922.53,471.72,361.33,888.25,990.08,912.65,46.26,505.18,576.47,281.13,33.66,129.52
463,Brazil,Payload,1996,31794.03,GEO,Active,662.07,708.86,258.31,529.5,508.72,108.68,489.81,914.27,657.2,410.68,437.02,757.19,644.56,570.31,4.54,767.07,767.07,593.76,151.96,653.85,427.84,263.1,489.21,282.62,403.52,351.46,952.64,847.98,716.09,154.41,977.34,685.76,815.08,446.33,346.22,705.22,88.48,166.94,917.98,377.48,440.18,564.29,133.62
464,Israel,Rocket Body,2017,19447.1,MEO,Inactive,921.03,347.26,339.27,151.61,899.88,63.83,303.03,659.31,742.94,18.55,944.86,852.87,264.49,877.8,820.51,919.17,40.22,515.58,500.84,555.48,932.0,846.29,49.52,658.14,8.47,607.9,341.36,502.46,495.54,583.42,911.1,424.25,772.15,590.45,595.42,359.53,650.11,769.79,31.75,346.22,585.8,586.8,498.44
465,United States,Rocket Body,1972,8713.6,MEO,Active,825.1,714.47,815.78,322.57,209.98,257.52,28.39,479.26,443.35,499.46,127.47,125.63,449.43,512.87,222.01,534.74,927.32,686.51,602.93,204.01,493.13,297.22,105.18,436.51,277.46,928.31,873.18,558.34,680.98,838.74,10.5,540.05,387.44,871.85,753.01,101.95,759.28,987.71,819.53,594.87,29.07,151.34,3.83
466,India,Rocket Body,2007,13462.59,MEO,Active,132.62,133.83,110.4,70.17,20.8,517.4,740.56,944.12,334.26,108.7,630.42,189.93,380.98,22.33,628.28,213.19,622.46,101.38,22.23,542.99,249.92,742.59,324.99,385.64,652.8,878.06,50.69,240.67,281.13,878.26,933.35,335.25,589.25,835.45,506.4,412.55,326.43,365.33,922.13,38.16,108.72,863.59,133.15
467,South Korea,Payload,2025,26980.44,GEO,Active,610.73,603.99,926.21,765.49,747.98,31.45,125.32,214.44,454.23,782.63,273.79,107.47,95.47,755.08,875.32,509.15,898.4,87.38,138.81,623.12,965.8,639.24,802.75,182.75,536.39,46.83,291.34,753.76,846.73,649.72,762.33,654.59,916.54,437.28,765.01,411.45,216.82,661.83,677.98,62.86,967.76,780.03,112.32
468,Israel,Rocket Body,1969,32057.55,GEO,Inactive,409.17,507.14,807.82,612.37,658.52,74.0,4.1,307.38,140.1,98.5,509.73,26.73,457.78,451.99,197.51,743.84,367.15,121.37,380.88,865.7,398.32,711.13,319.11,943.27,207.73,552.16,212.18,376.89,602.64,917.3,244.11,772.47,86.66,205.27,631.92,264.54,828.17,598.16,228.55,5.48,685.78,461.1,910.55
469,Australia,Debris,1984,13987.58,MEO,Active,791.36,158.8,883.13,570.68,294.22,901.17,997.53,838.13,801.1,553.04,983.69,544.23,581.09,705.43,306.18,524.75,122.79,119.14,826.7,114.76,855.74,889.41,797.27,576.27,480.28,278.52,567.88,814.71,349.8,834.03,690.87,866.84,984.54,374.6,560.51,435.27,359.56,266.97,849.99,465.3,245.02,730.4,457.28
470,China,Rocket Body,2012,2053.63,MEO,Active,923.08,468.02,529.25,281.71,553.66,515.65,717.76,632.76,478.78,817.9,429.44,446.55,666.96,258.95,98.09,339.55,110.28,49.09,237.42,406.06,955.15,250.86,375.78,829.54,251.47,630.1,243.63,510.12,927.72,707.93,994.48,724.18,938.17,848.66,861.23,248.91,784.89,639.27,827.67,858.85,361.92,875.14,597.25
471,UAE,Payload,1987,15731.46,MEO,Inactive,857.85,810.62,511.0,237.29,711.73,832.36,536.88,613.21,876.43,841.54,700.22,101.5,707.5,305.74,493.49,184.17,436.36,614.35,579.93,259.14,916.06,746.05,232.97,335.85,414.72,914.02,704.43,664.27,750.89,671.4,531.41,46.4,692.16,541.61,688.94,421.28,830.24,666.61,197.23,812.78,472.35,149.22,897.65
472,UAE,Debris,2019,12444.81,MEO,Active,205.13,18.2,886.4,29.55,944.65,843.61,526.59,865.47,357.61,42.61,520.27,855.52,104.17,946.5,745.97,294.74,860.82,498.46,334.43,77.48,844.14,740.25,781.59,948.08,31.56,493.49,513.22,412.98,600.6,148.43,785.27,664.3,859.28,329.96,18.55,350.88,524.88,455.95,948.59,777.86,531.88,884.36,193.36
473,South Korea,Rocket Body,1976,20663.72,GEO,Active,403.09,539.52,900.2,928.23,920.51,469.33,360.04,979.35,466.2,898.7,372.34,732.47,931.97,273.19,931.29,663.69,476.92,479.62,947.11,38.88,603.69,594.69,832.66,70.38,548.39,624.85,541.18,884.08,859.54,422.92,743.4,430.7,87.6,315.6,443.16,813.75,549.57,703.25,943.72,519.73,473.36,979.87,755.71
474,China,Rocket Body,1996,28675.69,GEO,Inactive,547.89,18.57,389.65,836.88,1.45,26.08,84.2,147.38,37.12,935.52,974.93,14.39,544.92,232.46,348.49,637.34,187.06,801.52,413.53,341.34,659.69,754.28,307.35,653.53,40.81,652.93,905.66,748.09,442.95,237.16,800.68,555.89,87.67,339.92,200.59,993.18,298.45,996.44,857.01,416.89,37.05,518.57,578.56
475,United States,Payload,1981,632.03,LEO,Active,68.3,667.6,856.81,634.91,630.65,664.8,754.39,948.77,189.83,53.76,933.16,87.83,647.38,715.34,434.69,649.87,55.53,152.12,324.04,697.05,923.36,483.1,644.15,148.3,275.59,894.72,177.6,484.08,182.03,267.24,702.33,617.99,108.3,22.17,328.78,498.18,604.01,670.47,996.08,504.52,798.65,80.35,661.75
476,Germany,Payload,1980,1509.73,LEO,Inactive,390.48,916.17,400.37,202.54,989.44,666.18,712.18,68.0,387.56,998.91,265.94,65.44,578.58,298.38,482.43,310.44,45.43,871.02,150.67,842.93,644.73,749.55,887.48,742.22,348.4,958.82,293.89,342.95,69.67,654.01,730.06,915.99,707.52,632.37,337.48,975.74,761.97,550.6,505.98,738.08,228.12,869.43,898.75
477,Brazil,Rocket Body,1963,1758.39,LEO,Inactive,923.95,501.33,881.14,910.3,869.34,702.01,691.26,810.67,303.82,283.51,906.93,476.63,645.35,36.37,482.29,482.76,884.5,2.69,818.12,534.16,472.95,438.63,58.96,36.54,977.39,361.67,581.74,148.42,855.97,892.08,858.01,463.32,54.99,727.22,118.61,811.83,955.18,376.05,715.92,21.05,271.53,76.1,622.1
478,Russia,Payload,1984,840.86,LEO,Active,581.59,496.48,203.58,313.98,386.92,740.99,55.2,337.15,730.34,740.31,507.4,486.61,373.64,16.89,726.65,466.41,115.24,902.82,813.32,881.46,915.14,558.2,316.47,399.53,572.52,24.89,873.34,601.99,982.84,823.42,385.05,105.62,965.83,239.38,346.38,823.44,525.18,188.97,969.59,209.16,100.84,681.16,886.6
479,Italy,Rocket Body,2021,7259.22,MEO,Inactive,258.9,985.97,911.53,153.73,576.89,204.11,779.34,818.82,842.08,717.72,121.74,554.46,50.24,528.02,360.32,955.63,617.2,519.46,595.89,904.61,295.43,963.83,662.43,683.57,234.05,919.21,931.16,436.99,586.83,449.04,836.9,318.43,886.14,862.8,939.79,413.67,623.52,753.61,313.39,871.35,709.49,113.98,210.74
480,Israel,Payload,2021,17997.51,MEO,Inactive,48.06,877.34,230.96,119.97,750.25,675.92,948.99,293.34,874.43,746.53,43.33,33.87,990.59,774.05,996.18,828.4,429.81,816.43,478.4,664.47,645.72,471.58,470.0,632.51,841.74,470.9,431.39,366.15,617.99,59.0,262.45,402.21,842.55,662.41,583.03,779.43,780.71,339.23,386.94,841.96,630.46,850.07,19.2
481,Canada,Rocket Body,2014,12666.63,MEO,Active,652.26,96.24,663.39,502.6,320.28,150.5,781.38,950.54,690.73,165.98,170.94,923.27,609.03,230.36,868.75,885.95,874.78,707.31,862.18,911.21,905.21,6.95,518.67,627.56,690.12,404.4,523.18,192.83,126.7,82.87,682.87,233.67,315.73,750.06,503.07,578.95,777.65,808.33,14.59,510.33,472.35,257.53,487.6
482,France,Rocket Body,1994,8705.85,MEO,Inactive,408.43,237.83,254.06,214.85,44.74,504.85,128.58,643.61,685.21,811.09,440.3,416.94,281.09,441.2,486.03,189.55,261.91,193.62,793.15,801.56,563.98,986.91,366.27,40.34,166.43,876.63,680.13,179.86,663.1,783.57,717.57,195.72,105.25,973.77,624.77,64.87,791.42,345.97,602.18,90.5,438.18,912.29,340.38
483,India,Debris,2017,4767.23,MEO,Inactive,954.24,199.17,469.04,757.73,602.92,387.79,131.07,877.49,963.85,942.89,979.86,694.95,677.49,739.13,611.58,954.79,667.64,360.37,809.95,499.67,396.08,504.86,395.61,173.46,350.67,782.39,290.41,108.09,711.51,583.54,626.19,650.55,385.03,624.02,434.91,368.93,117.03,612.3,309.28,346.74,13.96,710.82,419.01
484,Brazil,Rocket Body,2014,27310.06,GEO,Active,827.35,375.67,606.06,44.0,583.53,198.42,691.89,871.62,185.42,853.0,323.12,863.1,500.64,587.79,409.65,66.15,329.0,65.09,282.78,169.93,408.04,697.01,150.54,998.12,3.79,365.68,756.46,201.4,721.76,133.29,66.13,739.89,619.32,617.44,668.79,927.03,564.57,837.02,257.62,719.62,521.8,728.67,699.46
485,UAE,Payload,2013,33888.47,GEO,Inactive,159.3,797.6,918.89,862.23,29.36,765.95,196.0,408.3,718.6,666.28,85.88,763.26,745.29,623.57,940.94,748.17,247.41,46.44,587.3,256.17,194.52,853.45,691.93,765.35,886.94,223.46,326.39,516.56,259.04,896.38,595.02,961.46,104.76,769.55,470.77,857.26,76.17,669.72,152.2,897.61,116.64,898.75,549.96
486,Russia,Payload,1962,24219.17,GEO,Inactive,472.15,406.75,835.06,429.36,209.32,343.78,406.49,107.38,554.32,625.75,170.72,523.51,926.21,935.26,301.99,842.72,138.35,728.18,976.0,884.12,854.55,443.49,168.87,834.55,748.04,870.08,320.13,938.88,655.72,191.64,212.21,11.72,852.73,784.95,529.45,467.39,902.51,184.85,151.15,205.05,282.02,966.54,704.46
487,France,Payload,2024,24983.52,GEO,Inactive,755.48,549.75,995.91,687.2,958.34,667.64,352.3,606.24,11.11,321.12,617.9,939.4,529.35,493.55,689.41,82.17,246.0,216.12,739.26,778.02,704.55,408.09,912.23,874.6,825.74,140.81,573.47,765.76,628.37,318.13,58.36,960.0,147.95,250.58,495.01,243.21,678.84,72.96,298.22,624.46,705.46,579.36,578.86
488,Germany,Payload,2002,24320.81,GEO,Active,622.69,935.88,621.38,502.4,477.32,958.67,307.42,34.65,150.31,611.0,701.05,835.49,241.08,923.6,486.57,178.81,601.76,238.77,114.63,784.76,518.41,309.38,272.29,21.55,616.86,457.87,834.93,938.78,204.43,426.17,730.3,445.28,576.18,907.24,855.82,73.73,564.78,594.22,127.59,458.0,294.23,653.15,707.88
489,UAE,Payload,1968,19620.67,MEO,Inactive,170.13,911.73,106.85,41.56,900.65,650.18,323.49,249.91,188.88,564.72,200.69,116.9,131.13,88.18,649.66,945.31,342.29,332.57,631.43,904.26,441.98,196.05,129.28,165.19,940.22,51.39,225.09,630.84,277.22,695.09,219.97,174.94,869.28,662.73,987.97,634.84,942.15,391.42,988.86,473.28,569.35,893.61,324.49
490,Brazil,Debris,1964,10031.0,MEO,Active,105.66,244.03,316.12,963.78,168.01,687.87,805.93,738.22,166.27,759.59,944.28,833.44,971.65,527.62,106.57,626.09,707.95,232.96,446.36,31.1,78.56,425.34,488.4,974.88,513.57,636.27,784.3,123.57,67.35,420.62,704.88,709.22,383.25,362.73,688.29,273.82,417.8,820.27,274.73,441.28,85.21,501.35,112.9
491,Brazil,Rocket Body,1984,16473.34,MEO,Inactive,221.16,95.23,313.77,737.94,932.14,31.7,278.25,63.88,397.34,10.73,340.85,624.17,205.66,54.66,823.33,384.14,135.14,946.28,496.13,392.48,778.11,69.83,786.93,471.34,39.77,680.17,968.67,142.63,774.18,460.1,786.5,883.55,734.26,319.79,786.04,394.34,43.96,325.49,803.8,202.5,752.9,361.13,506.9
492,UAE,Rocket Body,1991,10714.35,MEO,Active,727.26,207.09,515.43,677.17,755.58,505.19,866.25,199.31,296.05,93.76,110.97,5.48,489.74,128.08,338.51,716.93,395.54,245.62,201.73,350.06,611.18,119.47,686.74,399.95,583.2,68.16,343.11,245.49,168.82,739.49,789.49,583.64,944.07,695.96,319.93,974.03,986.53,937.78,855.46,823.63,773.32,556.53,917.64
493,France,Debris,2000,29579.91,GEO,Inactive,594.4,748.2,225.72,558.16,652.85,227.88,655.59,797.99,592.76,250.44,239.54,90.51,754.2,611.18,366.11,730.16,685.49,385.55,379.08,999.88,171.21,73.1,304.99,823.17,72.06,682.46,813.15,783.31,887.07,316.01,634.22,411.62,76.31,747.8,223.99,979.18,848.7,243.08,213.33,158.74,702.4,213.63,909.53
494,South Korea,Payload,2001,30721.44,GEO,Inactive,171.64,150.46,413.81,773.9,793.53,197.28,924.36,558.25,773.11,263.61,375.95,535.79,929.96,678.2,407.21,160.37,670.25,856.36,258.56,842.88,441.83,522.82,778.71,543.01,549.09,903.26,305.46,365.91,64.96,527.85,62.68,941.23,410.16,737.87,376.22,733.59,511.05,522.13,409.95,980.48,909.17,274.86,111.22
495,Israel,Rocket Body,2013,5404.87,MEO,Active,883.16,265.75,237.84,17.99,103.5,854.6,57.41,128.95,733.79,337.29,920.43,350.64,446.0,0.03,754.28,752.92,947.32,929.51,415.39,717.34,555.63,674.92,857.56,205.52,775.53,541.42,182.58,324.75,695.61,95.9,585.87,519.28,980.65,803.44,870.42,603.93,819.61,304.6,895.43,464.73,240.62,511.53,712.81
496,Brazil,Payload,2013,3243.04,MEO,Inactive,712.35,639.97,638.18,685.88,357.06,553.99,791.4,198.18,323.83,151.78,978.95,792.97,408.05,466.06,675.2,456.77,918.64,38.12,973.05,809.82,228.65,1.32,674.24,516.89,463.88,409.18,301.99,926.37,109.57,698.25,494.65,795.71,318.24,885.32,304.34,449.31,71.91,272.87,833.2,89.41,485.78,210.14,127.88
497,India,Debris,2003,20419.77,GEO,Active,723.67,487.02,921.06,462.03,467.62,684.43,392.13,114.74,66.29,404.86,555.42,391.78,308.86,223.58,484.55,132.03,291.83,153.89,931.82,541.73,714.7,986.32,283.29,322.56,240.41,803.63,821.25,671.54,843.41,217.01,46.13,157.0,195.74,484.43,748.48,850.61,876.72,875.25,139.97,553.4,914.42,752.24,50.28
498,Russia,Debris,2006,11128.52,MEO,Active,38.74,732.32,218.69,728.6,25.16,889.2,283.42,836.21,986.32,577.62,669.0,131.9,245.23,86.17,791.03,546.25,243.71,638.69,907.08,896.35,978.28,279.57,553.31,590.44,394.01,136.89,127.78,342.27,973.56,909.3,822.46,203.47,822.79,82.1,459.14,998.97,701.44,270.45,710.34,758.04,892.78,272.28,987.64
499,United States,Debris,1978,35182.05,GEO,Inactive,51.08,174.83,903.43,870.34,594.03,762.6,607.88,384.1,306.44,734.76,506.6,921.5,40.89,273.93,72.5,364.28,421.81,54.77,836.38,483.97,554.63,884.08,100.01,739.88,252.68,422.41,783.09,963.98,440.4,210.13,381.18,3.72,253.99,666.35,148.9,278.38,961.67,893.71,276.12,807.86,668.2,357.18,509.73
500,United Kingdom,Payload,2002,28297.17,GEO,Active,737.34,476.19,380.09,611.75,794.8,883.04,703.25,891.29,932.2,608.51,409.49,667.66,637.09,376.34,215.53,831.07,843.41,41.95,476.58,972.79,989.46,33.26,969.34,881.26,849.15,331.34,239.41,564.59,607.83,744.07,752.22,671.63,813.65,727.41,226.61,399.52,524.14,652.07,667.46,36.28,208.85,409.14,585.43
501,United States,Payload,1981,28196.51,GEO,Inactive,190.23,934.4,797.35,384.85,905.95,112.7,837.77,94.47,95.32,895.2,794.56,165.03,658.84,659.55,356.64,685.96,29.24,192.92,166.44,121.39,648.37,536.38,369.39,269.69,862.08,284.26,325.8,51.69,293.74,906.1,960.29,513.33,12.44,779.16,685.59,21.22,391.19,322.09,104.11,52.09,2.13,301.71,762.96
502,Japan,Rocket Body,1999,1000.05,LEO,Inactive,405.66,800.25,705.8,887.06,639.78,856.56,868.15,989.79,419.24,432.68,607.28,125.23,285.7,418.83,415.42,738.59,948.46,442.72,876.1,704.53,705.03,233.17,259.74,908.49,932.32,306.71,417.97,589.15,755.94,639.08,378.9,207.38,698.11,731.5,630.98,152.3,683.26,382.91,844.9,378.89,464.91,395.66,120.75
503,UAE,Payload,1983,7242.45,MEO,Active,312.77,771.23,554.6,600.58,881.57,439.8,281.91,392.8,872.28,760.08,428.31,607.77,356.01,89.28,842.32,768.9,721.88,364.58,632.04,727.44,910.97,898.49,573.07,851.15,860.22,458.46,172.74,66.25,411.93,652.58,187.81,249.99,849.58,597.51,973.89,337.06,861.65,827.92,501.5,253.16,978.76,618.67,423.06
504,Israel,Payload,2021,15651.39,MEO,Active,913.41,930.94,107.0,52.53,516.66,711.62,72.03,922.26,987.56,482.39,622.36,553.95,467.93,317.98,436.9,347.36,158.62,678.18,171.58,692.66,290.41,93.28,577.17,583.25,607.85,134.79,774.2,137.83,127.61,343.59,342.02,636.46,217.83,345.0,609.71,147.74,236.54,910.15,817.42,555.68,209.61,835.47,327.27
505,Canada,Debris,1998,20826.98,GEO,Inactive,574.91,900.91,450.1,624.57,883.35,487.53,571.02,505.45,422.57,648.13,304.33,497.14,838.62,223.47,367.17,886.89,954.02,119.13,507.68,789.49,656.85,282.56,844.93,329.96,952.62,155.29,875.63,137.11,116.83,361.35,774.54,791.13,284.53,435.95,590.68,282.58,488.42,493.38,922.13,536.25,725.54,320.78,897.29
506,Australia,Debris,1968,31254.35,GEO,Active,350.43,631.57,545.86,213.16,385.49,596.42,217.48,408.59,807.26,389.4,117.3,794.87,280.95,55.75,21.6,804.91,798.76,195.73,246.51,966.01,648.82,639.52,392.54,431.62,164.18,311.05,496.41,941.33,122.59,982.96,239.76,1.63,531.15,845.19,839.61,74.68,592.99,22.92,212.12,208.96,80.1,952.91,358.13
507,United Kingdom,Debris,1995,7376.47,MEO,Active,393.3,895.0,75.3,871.36,786.56,389.72,468.16,431.33,270.3,425.89,60.71,19.98,396.24,436.27,958.94,929.96,145.93,118.81,37.5,115.47,811.92,911.92,573.51,601.76,492.03,676.94,918.33,833.24,951.8,202.06,229.96,762.59,604.3,376.35,718.98,966.59,378.89,790.51,95.03,917.13,658.55,46.59,978.92
508,Italy,Debris,2005,4690.39,MEO,Active,251.93,68.95,797.62,496.59,456.54,55.01,824.13,233.77,729.63,684.2,867.01,218.41,105.82,472.04,775.1,262.06,688.38,392.59,690.57,593.27,764.16,311.27,400.94,779.49,894.11,321.91,69.05,654.24,541.93,880.79,236.02,529.04,803.61,626.66,528.63,681.09,586.16,127.31,47.0,529.74,212.28,760.71,138.0
509,Canada,Payload,1988,9125.37,MEO,Inactive,777.78,585.91,860.52,252.08,505.19,679.43,698.04,846.2,429.12,730.3,806.12,904.31,424.64,190.36,318.65,362.98,603.82,272.24,604.2,67.38,857.4,73.26,275.86,828.38,928.95,718.01,500.16,579.59,374.04,753.44,365.68,113.56,480.26,208.13,329.83,994.19,257.17,599.54,978.82,108.5,801.14,298.2,140.56
510,South Korea,Payload,2024,27554.1,GEO,Inactive,683.86,599.19,968.45,107.66,426.73,301.48,716.34,173.35,174.4,699.33,908.54,812.3,900.3,894.72,333.42,462.27,148.27,728.41,958.44,109.49,533.93,279.74,756.25,290.8,641.63,464.01,211.13,874.83,21.63,424.14,205.41,743.44,361.38,126.64,681.99,885.66,974.5,363.46,648.32,264.66,914.57,458.75,146.25
511,France,Rocket Body,1996,29222.25,GEO,Active,625.77,670.37,842.05,926.98,941.55,430.08,543.25,719.8,649.86,25.2,929.12,316.82,952.2,549.55,86.47,345.42,666.06,768.48,554.4,904.92,836.43,24.81,496.85,355.8,252.12,51.85,717.41,126.16,707.53,197.66,864.08,762.72,107.61,494.92,455.77,518.98,905.03,597.81,899.39,641.73,207.28,724.1,238.81
512,Australia,Debris,1962,8314.8,MEO,Active,892.33,640.03,682.16,220.43,847.89,97.19,125.83,727.95,669.29,484.99,506.26,352.89,98.69,402.82,507.18,10.43,784.41,317.93,557.09,51.35,800.0,513.04,489.06,613.6,153.85,951.12,938.2,661.21,470.08,725.28,493.83,272.83,460.08,128.34,748.37,532.83,344.05,16.34,66.47,475.94,392.95,633.02,454.23
513,Italy,Rocket Body,1983,21628.89,GEO,Active,51.66,817.82,144.49,329.37,359.03,53.4,559.35,274.86,165.69,572.11,706.84,374.13,245.46,269.01,315.41,643.99,175.08,538.86,111.92,584.48,300.72,297.27,775.69,547.34,921.27,2.99,986.39,839.88,543.88,835.59,101.25,460.2,645.33,137.78,804.1,805.88,402.08,861.18,525.46,326.35,681.77,1.48,249.3
514,Brazil,Rocket Body,2017,926.51,LEO,Inactive,994.09,632.73,883.58,814.53,770.89,659.34,134.36,971.15,880.49,106.42,560.96,548.36,239.67,417.31,727.85,404.76,624.35,527.13,912.29,499.52,344.68,924.67,715.1,884.93,532.39,226.87,594.15,569.21,765.69,229.28,469.51,784.27,21.16,395.33,310.91,615.28,22.45,269.55,284.38,947.47,933.65,67.17,234.69
515,Australia,Debris,2011,18409.3,MEO,Inactive,395.33,833.35,197.09,189.37,144.41,516.88,205.08,263.51,252.55,544.7,140.63,904.58,476.17,374.98,889.9,921.12,392.86,756.85,266.05,437.66,77.15,691.82,813.54,838.21,145.85,869.01,897.34,119.59,735.05,969.84,65.02,730.91,520.15,297.84,902.51,888.85,531.84,803.18,270.52,662.83,495.38,834.77,264.12
516,Brazil,Payload,1975,11422.18,MEO,Active,81.93,895.76,418.72,362.82,231.15,606.65,837.33,211.17,149.92,870.03,769.18,781.76,223.62,816.56,589.39,471.09,585.46,415.89,402.07,243.93,0.61,294.49,362.23,72.33,641.18,604.45,132.71,888.6,590.33,191.98,924.46,843.26,927.25,778.13,919.7,146.72,734.67,541.11,515.61,622.43,739.41,337.68,194.56
517,Israel,Debris,2018,12702.93,MEO,Inactive,887.76,807.23,623.28,847.58,312.08,461.73,720.11,907.96,577.64,691.81,844.83,321.96,48.82,154.14,210.28,603.97,657.88,966.04,23.09,89.6,74.01,712.87,44.42,566.47,533.67,381.12,556.6,199.77,989.23,501.05,248.82,400.58,766.3,154.29,4.86,797.95,275.99,833.64,713.01,741.54,617.3,348.75,583.8
518,China,Payload,1984,500.46,LEO,Inactive,868.03,716.43,238.21,347.14,353.82,934.13,261.67,606.2,536.12,934.32,535.65,80.39,627.07,119.49,975.84,998.43,460.01,982.48,801.29,384.14,281.81,522.17,805.8,555.81,823.08,257.48,656.78,947.42,306.99,116.26,398.18,575.82,399.76,899.35,205.52,288.23,250.7,167.24,785.32,515.3,574.38,195.43,610.14
