object_type,country,altitude_km,launch_year_estimate,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
ROCKET BODY,Other,32125.9,2011,464.14,394.871,524.27,892.129,937.329,165.446,113.539,867.199,320.074,581.627,558.932,938.201,329.123,404.104,534.552,419.609,433.692,197.816,165.885,410.73,982.343,795.513,182.777,216.678,119.717,407.974,595.315,60.463,88.63,722.744,690.521,568.827,963.59,743.905,989.951,90.536,412.992,588.619,228.87,280.07,243.555,174.616,633.595,228.925,404.729,579.565
DEBRIS,India,4545.47,1994,966.27,350.281,873.956,92.795,852.913,718.973,205.771,100.023,692.11,970.938,625.347,867.844,418.036,309.206,930.88,98.316,148.975,695.794,809.757,313.678,366.729,464.472,280.598,679.954,455.918,53.533,155.117,393.795,762.065,808.112,876.495,916.31,919.737,223.465,407.517,654.305,610.216,545.588,687.232,934.956,735.3,796.238,981.803,691.152,188.089,387.421
ROCKET BODY,Other,18678.79,1982,980.633,218.615,195.163,608.203,355.55,898.877,78.675,51.764,17.11,251.688,248.234,984.378,802.043,244.481,518.516,573.6,915.33,848.787,868.806,245.11,240.458,936.428,509.127,600.218,956.274,729.331,649.855,170.561,496.947,508.459,47.294,936.646,198.155,410.945,694.94,19.827,470.3,495.078,720.436,869.286,509.75,277.107,288.371,284.57,607.617,377.796
FRAGMENT,Russia,4352.73,2014,437.797,397.304,212.441,191.393,737.392,593.935,703.922,591.933,71.414,122.921,358.777,538.591,200.502,183.905,598.441,578.467,449.438,658.838,524.348,544.818,92.765,313.04,43.016,349.739,471.727,540.692,286.12,40.415,4.92,606.623,503.463,855.944,724.851,396.119,557.345,809.566,57.027,367.484,644.128,941.0,443.137,386.786,751.015,900.242,504.563,612.96
DEBRIS,Other,24888.08,1975,741.88,169.408,428.842,801.481,903.6,826.466,957.34,239.299,62.973,914.689,535.385,215.004,85.044,707.543,744.372,125.198,413.046,3.739,444.737,542.965,691.593,967.425,603.681,911.164,204.702,821.726,660.423,784.44,836.916,998.175,471.944,888.237,89.148,84.686,152.634,360.978,785.929,941.412,282.746,375.306,840.734,327.354,46.625,498.056,761.13,349.121
SATELLITE,ESA,4800.92,2010,136.164,130.142,788.397,832.657,714.735,757.23,231.704,270.965,247.396,987.192,315.285,265.891,170.529,851.004,590.794,664.529,75.491,736.747,891.292,131.145,765.8,372.413,976.446,885.532,153.918,976.124,999.322,542.508,165.947,266.245,144.55,199.162,32.651,735.386,479.214,153.42,38.925,997.713,824.75,124.639,350.359,215.821,108.453,970.762,465.97,762.198
FRAGMENT,ESA,24012.93,1980,481.948,87.122,325.628,337.307,320.317,823.872,430.231,530.603,660.195,551.913,788.165,809.937,658.593,940.378,824.77,221.375,46.929,585.934,944.078,447.958,25.248,597.188,740.005,582.755,506.057,964.747,8.527,317.999,864.539,289.81,685.802,224.131,119.347,104.242,637.694,841.066,270.469,160.03,523.648,532.083,395.12,880.674,286.573,476.556,139.231,9.797
FRAGMENT,China,28506.15,1978,557.643,392.455,406.932,41.79,371.257,303.32,472.497,40.864,624.488,749.431,657.162,351.612,958.498,445.692,484.716,122.011,195.566,501.347,506.357,698.711,398.778,651.304,293.082,435.692,120.118,392.089,554.258,106.116,412.21,317.748,754.529,721.77,806.336,40.729,725.9,718.75,489.702,149.588,328.913,724.711,960.807,595.523,28.318,39.704,816.225,461.337
DEBRIS,Japan,20801.02,1999,614.189,414.135,224.813,183.995,274.478,573.809,578.79,614.282,626.127,561.425,918.904,144.411,99.867,876.312,72.872,190.685,343.342,963.323,160.891,649.602,593.042,10.796,891.486,153.896,270.848,577.619,511.446,554.939,33.195,214.591,144.954,697.517,989.054,949.577,524.409,209.761,341.034,876.511,665.402,468.47,869.103,650.872,735.179,702.683,272.795,925.46
SATELLITE,China,5737.02,2023,232.794,449.908,95.622,236.839,366.41,436.239,364.595,865.405,392.4,281.496,797.453,697.176,472.484,835.664,835.527,686.365,468.616,393.592,926.672,110.405,624.758,701.897,451.429,853.841,807.936,402.799,700.709,823.185,119.598,90.219,365.42,183.705,43.032,983.682,452.847,915.91,469.543,393.427,395.747,189.094,200.269,496.192,302.692,423.759,939.8,923.07
PAYLOAD,Other,33637.11,2006,850.732,504.461,257.792,256.871,27.667,276.243,459.943,493.888,168.212,41.062,100.967,222.396,69.927,781.537,231.863,19.886,741.368,735.625,236.949,49.026,317.234,937.271,502.116,796.102,362.83,545.159,166.682,140.703,199.685,248.635,359.475,951.119,392.563,392.663,877.633,569.776,42.62,22.434,494.273,874.037,618.026,421.921,754.507,929.935,864.508,365.231
SATELLITE,USA,3844.89,2019,147.658,456.422,24.629,445.269,429.822,488.836,342.732,616.914,759.296,498.949,492.286,567.919,637.075,184.861,74.019,101.205,356.686,795.934,732.858,677.723,927.682,690.641,649.583,775.213,494.023,761.128,278.099,363.171,459.937,984.328,715.776,685.277,835.577,734.976,266.378,629.443,953.065,369.792,418.18,864.974,870.909,623.962,227.62,638.531,81.235,662.094
ROCKET BODY,Other,20584.85,1968,446.12,665.422,378.313,932.841,291.277,90.695,925.305,653.164,193.692,317.171,477.878,435.818,33.034,742.631,152.732,127.694,204.768,823.816,460.793,855.494,518.803,8.156,502.049,444.168,794.432,524.134,468.66,892.68,708.315,437.3,489.56,618.633,162.572,683.53,947.366,156.018,992.723,208.689,352.347,846.955,785.202,612.761,716.894,222.896,502.29,766.53
SATELLITE,China,24783.1,2009,211.009,318.083,170.413,280.913,75.733,250.457,414.418,423.527,697.855,171.88,180.01,522.64,215.211,858.359,145.103,478.456,217.008,71.332,908.391,2.861,724.911,581.061,871.808,970.063,978.094,373.533,948.021,876.423,506.142,205.289,511.623,305.451,359.3,372.843,396.709,873.617,76.602,401.776,593.731,906.741,154.5,509.293,433.644,578.465,730.103,288.768
SATELLITE,ESA,7309.41,1959,253.809,607.161,585.943,357.417,113.815,279.388,813.487,417.222,123.407,56.671,724.17,670.871,934.997,103.803,80.806,136.336,937.291,555.494,956.078,442.984,237.806,618.452,721.107,329.532,179.213,317.388,888.711,521.762,321.527,94.313,543.072,592.793,550.412,342.831,683.433,95.038,835.579,308.799,235.072,52.114,42.111,309.511,712.721,513.315,33.501,960.921
ROCKET BODY,USA,12242.84,1976,907.18,142.476,590.327,231.349,914.878,550.316,686.39,376.577,660.538,563.921,865.261,769.527,145.347,64.114,905.52,925.27,380.731,596.676,714.941,883.285,754.299,484.553,764.357,197.946,23.932,531.086,936.529,352.526,554.179,173.707,335.318,681.605,505.245,882.113,792.897,171.009,72.85,42.501,826.951,503.092,657.491,464.472,606.996,275.005,724.434,660.524
SATELLITE,Russia,32961.44,1991,347.952,544.408,729.815,846.374,891.131,949.133,102.229,100.938,113.132,619.18,978.167,566.272,824.443,513.626,910.049,233.353,588.937,561.25,355.191,445.709,557.298,310.28,516.349,643.079,196.248,610.342,60.709,272.402,105.804,242.355,573.276,343.157,969.886,758.555,588.662,189.556,821.079,879.272,60.729,680.487,351.506,132.31,230.182,296.495,224.058,134.078
DEBRIS,ESA,16247.05,1994,139.286,145.012,713.987,574.176,287.175,497.277,696.883,95.116,15.355,731.09,340.184,927.666,754.82,657.725,891.008,686.881,413.652,299.677,462.127,934.164,720.21,761.059,918.51,495.524,185.313,2.973,546.428,795.12,602.241,594.054,233.694,225.621,528.323,391.747,838.766,366.659,479.861,636.658,852.429,803.07,192.406,788.1,949.835,650.786,663.709,77.311
PAYLOAD,India,18764.1,2022,990.811,455.473,835.404,37.898,972.003,987.922,23.218,817.742,600.274,700.853,219.682,707.658,393.595,527.137,848.152,825.228,263.89,26.776,462.499,827.373,353.095,471.986,383.048,205.424,494.994,628.472,388.399,280.68,921.865,835.37,643.867,270.87,700.023,699.226,802.819,280.943,417.635,766.718,746.043,877.04,385.704,300.348,467.211,839.62,923.287,323.061
PAYLOAD,ESA,3329.24,1980,969.911,607.953,855.607,97.067,135.769,361.175,766.642,274.133,793.703,405.585,903.106,781.379,888.768,416.769,703.563,365.726,265.49,645.485,309.788,579.313,666.999,944.961,919.179,738.943,648.478,26.938,828.11,926.368,802.378,642.61,942.782,696.935,846.611,627.208,75.047,434.246,571.386,799.721,432.686,837.369,998.492,635.165,372.399,257.67,579.112,837.684
FRAGMENT,China,11276.22,1984,196.19,477.7,824.842,235.552,181.278,864.319,123.6,929.367,896.745,878.673,184.162,968.704,513.34,752.629,788.289,604.233,822.725,228.017,297.312,716.943,586.624,884.192,850.359,881.626,461.824,642.261,121.417,424.625,740.067,553.521,72.108,213.985,92.449,168.871,325.378,881.996,23.823,371.355,902.715,516.278,450.37,977.503,32.185,347.827,821.527,330.313
ROCKET BODY,Japan,392.94,2017,698.813,559.078,178.303,600.636,326.736,410.07,930.029,123.957,88.606,932.099,127.428,158.155,764.785,796.465,397.803,861.506,463.841,154.363,649.843,318.593,349.97,297.845,453.062,877.512,49.902,460.64,722.009,40.737,811.133,174.203,915.197,640.493,616.041,78.655,435.861,762.613,52.367,152.207,607.526,862.848,128.342,420.474,889.313,938.79,509.537,337.059
PAYLOAD,China,31477.55,1968,825.637,583.967,274.077,783.626,204.183,319.194,267.736,45.517,943.116,793.438,773.783,985.764,944.261,213.971,822.788,596.619,956.91,661.568,377.185,250.483,279.038,822.329,139.037,700.274,966.388,518.794,403.156,575.075,279.84,721.099,749.961,468.737,642.42,378.934,14.174,682.878,576.388,315.577,637.857,415.648,295.226,188.419,858.559,850.842,938.957,176.08
ROCKET BODY,Japan,28399.51,2006,290.796,152.24,470.461,39.723,758.802,11.151,902.161,950.9,93.751,561.59,187.114,497.912,772.009,178.17,984.532,883.924,695.017,648.074,220.511,55.249,796.373,828.707,763.305,839.806,308.541,457.081,628.512,259.335,110.047,969.761,136.905,836.383,236.876,348.952,478.052,469.987,547.102,128.335,697.994,641.67,559.481,603.09,2.174,698.733,748.329,807.626
ROCKET BODY,India,2854.22,1961,966.179,464.746,584.503,459.831,308.141,640.343,314.877,921.12,342.187,472.451,61.616,406.52,940.163,0.809,554.407,318.454,472.783,592.838,196.546,149.93,829.756,552.082,77.102,920.22,979.635,645.122,908.555,609.708,856.627,601.956,10.988,63.48,142.948,337.94,554.478,696.875,67.403,375.587,68.889,590.307,419.16,731.162,979.852,428.776,946.03,741.992
SATELLITE,Japan,5805.88,2010,603.209,975.861,437.959,368.551,8.109,191.439,566.455,942.196,462.713,567.096,776.023,191.888,42.75,926.475,910.172,182.308,459.485,479.779,472.839,683.409,156.182,913.95,918.691,49.202,134.003,41.545,850.504,462.959,51.47,527.564,84.387,639.384,481.032,603.117,630.23,746.44,129.577,9.649,550.593,785.967,202.56,707.383,766.899,155.043,322.263,595.841
ROCKET BODY,Russia,5236.94,1986,279.833,148.879,296.157,524.492,606.622,648.72,185.835,384.921,141.17,810.613,423.279,647.067,969.478,662.265,346.164,696.796,966.963,231.345,555.088,196.006,436.921,764.167,412.925,704.82,719.897,983.051,712.204,978.159,34.062,964.806,578.416,513.797,924.244,764.243,585.228,461.901,810.011,983.467,335.212,640.562,614.547,834.011,564.176,309.749,861.861,173.007
DEBRIS,India,10187.37,2023,305.695,1.216,58.092,269.888,13.784,206.077,664.758,14.297,649.437,158.391,65.266,150.532,145.823,781.31,51.344,855.51,633.199,961.387,331.651,684.862,844.87,862.739,54.471,642.771,977.355,919.319,731.437,509.641,669.135,537.164,26.924,640.997,784.427,674.482,641.538,646.438,868.403,280.413,193.361,205.561,253.645,681.688,662.792,992.723,485.584,171.546
FRAGMENT,China,13874.92,2006,170.54,630.473,184.851,153.683,83.756,73.873,486.733,995.275,501.828,629.529,822.066,746.659,684.987,471.092,459.145,789.689,362.016,546.385,217.349,858.807,404.757,295.394,47.454,630.786,442.08,539.131,648.741,62.895,692.934,633.506,166.579,987.726,418.068,551.35,739.679,593.038,491.722,39.449,379.38,827.266,504.847,234.512,689.149,424.634,783.161,357.036
FRAGMENT,India,13856.27,2008,169.463,739.941,834.285,697.292,20.741,78.378,389.089,735.614,505.635,695.753,822.254,930.909,10.792,849.375,936.616,632.092,198.927,757.199,342.571,904.767,762.474,472.954,593.374,674.718,362.607,919.155,830.788,612.539,830.096,755.262,131.678,194.247,418.334,658.983,727.671,600.555,903.967,326.286,451.519,658.394,640.555,341.32,574.696,53.34,970.973,473.088
ROCKET BODY,ESA,3020.65,1975,779.338,203.627,345.803,765.591,235.813,816.828,278.401,510.721,422.184,189.163,652.703,642.313,280.745,527.982,345.083,928.25,100.061,921.16,268.041,79.237,519.819,340.731,719.909,535.404,514.194,690.469,226.819,112.08,101.453,86.328,556.654,973.263,174.019,170.122,0.546,207.546,102.642,399.802,582.255,405.063,824.569,736.539,950.907,471.046,101.464,499.414
DEBRIS,Japan,29241.48,1968,820.484,135.092,793.633,875.183,304.883,916.05,445.482,822.775,349.293,650.456,184.59,115.916,597.419,353.661,220.373,256.601,156.502,161.911,415.878,596.557,633.075,361.285,13.776,258.093,280.496,438.637,863.736,757.103,856.67,626.266,678.869,948.809,76.403,357.052,130.154,634.092,470.583,271.991,165.662,809.725,233.731,325.107,415.31,257.973,408.661,419.697
SATELLITE,Japan,21934.47,2017,549.984,55.743,669.511,659.767,97.633,509.468,706.296,994.996,911.98,975.338,379.577,406.739,643.517,412.429,68.714,978.251,378.372,118.152,346.284,402.104,518.073,478.655,48.049,915.514,651.58,490.313,159.119,863.092,353.981,338.463,183.649,49.977,153.621,730.398,806.503,816.991,181.657,974.546,51.983,777.022,714.172,793.836,376.655,472.498,567.846,881.172
DEBRIS,Other,10904.8,2021,676.487,462.665,856.246,338.425,181.654,666.883,943.913,360.447,53.127,16.34,973.385,348.018,745.396,393.92,958.78,220.859,227.227,152.315,33.395,776.538,783.532,695.427,892.447,91.217,850.96,18.666,689.875,326.615,5.989,831.144,469.231,207.763,390.434,791.08,36.333,689.571,177.775,991.494,949.135,157.93,538.503,215.149,427.854,125.198,612.349,111.691
ROCKET BODY,Japan,12798.33,1989,709.308,489.693,722.496,79.792,933.55,709.741,977.075,885.153,195.458,259.593,388.476,66.119,615.399,478.48,831.471,880.734,501.846,217.113,956.95,681.246,775.371,804.742,447.605,596.95,524.297,844.728,599.902,839.09,112.038,205.973,910.615,850.14,221.566,396.493,363.697,573.347,459.413,721.541,718.945,691.828,973.768,852.923,775.634,513.819,134.947,348.56
ROCKET BODY,Russia,17158.11,1958,295.59,581.706,766.295,631.835,729.5,939.374,61.504,877.714,190.456,119.533,962.306,919.937,448.094,490.8,654.405,461.157,379.368,684.115,552.531,735.09,422.209,827.802,737.087,719.587,764.166,721.767,488.87,974.181,752.722,14.498,78.382,628.217,578.196,229.116,992.243,688.26,402.732,119.485,306.773,766.173,404.335,598.009,427.034,548.998,874.568,407.754
ROCKET BODY,USA,19578.13,1979,20.189,754.931,814.481,137.078,118.029,427.469,919.515,398.26,477.168,956.913,732.273,284.066,997.423,951.122,505.223,478.389,651.96,239.776,129.318,877.984,747.069,994.028,943.981,267.762,933.6,61.167,17.338,925.694,620.939,249.465,665.001,552.524,487.975,786.334,773.262,131.106,390.246,193.915,602.994,751.613,120.54,190.26,331.589,531.043,205.605,806.741
SATELLITE,USA,27038.21,2000,510.343,222.844,889.913,132.965,611.569,609.642,219.111,809.898,297.783,121.617,34.158,908.953,338.984,726.541,510.685,965.625,784.978,656.751,668.495,794.2,28.736,224.235,56.077,958.666,32.376,246.898,808.461,274.224,998.634,127.189,11.781,798.076,230.961,41.644,349.162,888.714,810.626,495.202,437.851,177.72,188.451,892.618,191.499,393.109,605.215,604.409
ROCKET BODY,India,15170.9,2020,74.259,636.031,617.244,438.649,476.124,67.267,702.651,918.563,91.856,40.474,808.074,596.388,301.4,957.179,860.103,177.743,607.398,677.861,297.333,206.507,260.501,851.374,497.586,694.791,524.365,380.378,828.682,127.965,846.606,664.273,198.516,578.025,317.633,35.18,411.536,212.299,202.893,86.324,366.282,91.281,530.786,740.393,888.299,236.044,511.6,413.513
SATELLITE,ESA,2573.45,2022,403.072,20.243,183.407,258.538,470.325,849.682,486.335,939.191,340.864,890.21,115.754,35.051,717.396,975.924,307.948,26.642,81.256,534.262,694.229,35.715,664.871,674.936,653.014,148.011,38.464,87.275,455.663,929.683,751.13,160.811,960.633,231.531,257.358,717.548,900.456,204.861,92.945,5.697,108.758,273.591,258.444,559.097,514.325,631.181,528.635,787.296
FRAGMENT,China,25317.68,1967,699.964,691.117,622.17,384.791,788.296,247.158,661.992,483.313,916.018,282.361,865.712,712.348,23.612,993.126,547.676,196.523,452.275,610.445,255.528,276.13,890.156,521.633,366.104,509.933,922.159,854.181,738.942,573.454,508.416,518.984,823.945,353.812,708.216,838.523,377.884,840.174,969.959,928.456,170.24,253.167,517.686,100.466,319.763,149.918,306.386,613.479
ROCKET BODY,Russia,22049.2,1961,107.088,20.207,734.528,413.12,64.254,226.5,282.617,807.379,940.084,314.138,691.81,538.717,294.58,557.886,599.189,896.733,298.679,410.024,943.123,299.231,388.512,417.193,440.976,44.5,272.119,658.314,214.824,320.749,787.926,329.739,887.311,892.771,609.84,489.76,431.744,20.339,776.127,964.316,953.56,243.412,904.054,617.645,420.896,575.132,297.173,275.503
FRAGMENT,Russia,4432.44,1999,628.664,259.047,510.444,961.069,495.942,175.309,297.308,93.817,947.463,510.551,40.557,20.47,51.404,772.544,952.948,867.716,570.113,915.797,725.621,597.923,838.734,743.853,4.073,933.961,952.666,32.757,174.083,64.45,35.724,392.997,524.373,725.533,717.43,293.63,419.363,467.529,587.474,925.568,546.209,880.178,90.212,14.858,707.396,221.781,575.042,266.288
SATELLITE,Japan,6097.78,2020,154.628,49.204,816.449,683.228,36.28,990.393,156.905,367.196,699.225,792.18,99.273,764.134,262.531,968.088,204.83,643.9,397.365,40.204,950.341,471.913,679.955,945.74,823.144,256.961,291.695,28.736,418.114,895.795,703.108,44.322,901.952,79.583,833.145,822.691,578.604,572.389,182.319,195.029,852.28,493.83,64.614,816.986,287.943,401.345,382.924,196.253
ROCKET BODY,Other,14479.77,1998,46.274,603.135,221.335,26.432,308.46,916.822,8.179,473.884,170.056,580.71,800.03,235.587,187.428,758.782,278.673,60.132,660.913,229.269,463.312,104.138,37.062,315.58,284.475,388.588,729.512,368.557,193.582,928.3,59.55,650.917,166.142,967.216,217.533,453.428,357.171,322.207,342.266,107.159,166.803,130.765,931.069,423.6,991.494,467.638,958.885,680.326
SATELLITE,China,18014.72,2019,381.277,490.339,774.357,369.023,421.482,654.612,63.532,932.598,383.955,228.712,872.299,129.66,358.717,277.98,502.158,969.514,675.139,680.501,2.381,467.53,647.711,408.71,977.035,747.147,649.596,958.675,991.446,202.235,386.085,331.451,637.334,764.31,257.118,975.484,382.511,921.781,943.174,575.252,961.857,448.149,364.717,329.121,182.318,299.8,166.999,833.464
ROCKET BODY,USA,32250.55,1960,585.191,174.413,952.829,49.906,869.083,524.021,516.582,483.597,676.573,776.855,21.698,54.45,155.172,126.522,102.713,82.67,568.59,325.339,582.912,291.531,60.677,811.46,656.887,165.557,339.145,638.734,528.314,118.02,415.595,155.517,949.768,377.055,432.453,728.233,930.506,386.106,250.202,801.899,37.792,901.402,630.464,734.099,104.684,582.063,940.569,982.573
FRAGMENT,ESA,21787.78,2013,514.841,738.303,71.399,233.331,18.416,519.492,52.267,517.947,608.578,368.954,764.049,697.734,21.22,513.11,494.863,587.107,175.755,672.949,915.206,908.924,988.352,598.512,796.632,736.062,587.797,489.438,854.21,450.885,223.323,543.745,900.837,760.855,619.608,806.678,504.622,455.909,567.311,399.341,181.082,717.46,592.761,623.473,558.13,229.557,166.923,490.685
DEBRIS,Other,26146.03,1978,610.548,625.787,83.703,194.636,22.261,631.702,901.057,642.189,430.958,11.444,183.25,465.474,927.024,20.36,907.493,39.6,129.452,427.011,258.843,879.935,714.143,614.362,631.735,216.333,997.246,590.917,154.642,506.855,609.402,662.983,389.121,713.21,165.895,452.458,875.964,606.654,104.109,396.557,235.227,799.913,807.903,318.705,257.958,15.083,652.086,828.75
FRAGMENT,India,13045.98,1962,658.578,140.953,261.382,145.409,998.075,920.828,357.705,877.89,780.824,946.999,216.104,203.624,386.43,915.162,482.176,371.852,508.927,343.249,303.802,875.971,433.809,797.257,886.722,325.273,725.391,925.501,32.224,3.114,596.425,816.653,706.214,966.855,755.365,184.568,930.85,947.894,834.656,730.626,896.517,114.662,522.152,326.377,850.015,591.766,772.388,86.204
SATELLITE,USA,7684.04,1976,313.149,68.837,431.998,648.094,934.343,264.834,109.805,655.651,3.348,288.29,171.244,404.075,948.547,747.791,923.642,786.347,562.016,334.298,16.374,345.425,127.291,57.989,623.975,294.982,873.677,81.895,796.719,226.997,701.931,407.922,103.279,523.013,692.58,887.428,103.533,420.443,50.739,247.166,768.452,752.651,596.745,414.665,284.702,966.585,564.705,66.817
DEBRIS,ESA,27433.75,2000,156.659,157.946,618.299,890.638,394.486,526.343,808.683,710.529,307.184,845.613,45.665,255.586,68.974,836.753,816.99,164.083,156.74,486.511,538.238,69.488,834.65,443.306,984.239,63.518,997.972,436.275,386.531,261.268,971.072,3.342,399.91,950.582,90.893,332.532,394.699,471.938,45.831,16.559,756.589,43.588,969.591,667.689,335.7,806.007,985.738,327.657
ROCKET BODY,Japan,10276.73,2022,931.978,165.153,386.129,126.343,314.874,246.214,487.238,77.574,307.784,374.95,268.618,332.199,40.821,385.904,999.339,612.497,665.977,421.546,682.597,836.527,357.183,454.829,435.244,3.073,111.072,838.441,744.241,198.658,791.026,235.118,368.893,824.448,383.849,576.149,494.845,364.813,931.041,908.29,648.134,67.364,107.588,400.477,216.341,993.589,273.087,469.255
ROCKET BODY,India,9193.0,1999,48.874,146.44,929.142,754.633,733.484,349.114,971.484,924.345,402.702,356.576,199.72,482.407,457.479,676.498,897.141,856.859,942.39,469.477,750.684,349.725,87.933,925.514,642.253,245.341,654.782,462.785,785.605,387.943,809.389,983.72,378.672,9.971,33.754,856.141,886.155,139.24,632.677,203.312,350.104,45.32,0.63,887.224,426.696,678.164,531.334,633.539
SATELLITE,Japan,2808.34,2008,623.32,6.599,669.74,911.733,786.548,310.526,33.449,672.702,782.194,362.139,450.19,543.704,368.602,588.481,585.262,593.94,423.433,633.645,658.506,635.481,75.649,130.77,701.973,841.931,880.841,726.075,296.335,783.01,89.007,399.68,94.921,26.598,796.038,578.035,350.883,830.149,519.934,744.816,858.68,48.655,151.716,227.036,929.655,512.951,40.11,501.89
DEBRIS,Other,12715.75,2022,893.578,969.54,439.671,897.009,129.722,927.292,637.591,159.306,157.239,10.693,877.168,585.106,542.555,152.113,274.733,338.334,158.557,560.397,233.783,44.32,798.287,276.257,153.06,126.279,188.29,690.714,327.56,76.184,75.71,574.591,236.019,527.394,241.577,598.146,773.324,479.528,24.679,702.823,440.153,799.521,488.066,448.287,647.262,719.943,276.719,543.105
DEBRIS,Russia,29038.9,1972,807.462,943.814,794.531,991.768,450.04,425.314,64.132,109.104,673.395,878.711,120.792,739.216,868.029,843.645,108.177,901.098,585.08,131.63,323.895,279.824,209.413,594.997,470.883,316.919,633.759,201.433,5.083,517.331,735.184,248.003,396.998,116.383,964.158,575.062,580.021,556.671,330.431,760.733,764.107,364.318,686.386,883.117,914.174,732.309,605.054,451.283
DEBRIS,China,10441.47,1991,103.358,910.756,522.713,657.993,355.136,257.558,24.886,51.195,360.412,307.964,937.601,17.274,21.012,390.746,1.557,749.76,40.947,973.187,861.666,875.611,716.39,631.901,974.092,969.988,370.755,386.402,583.741,40.871,294.961,549.057,67.958,571.271,875.682,433.462,787.709,125.064,205.319,67.174,437.64,888.705,860.146,546.575,331.645,29.677,485.798,980.987
FRAGMENT,USA,25278.1,1987,932.847,587.863,21.859,368.153,296.067,891.952,561.782,902.5,707.378,896.003,124.005,185.489,846.692,37.811,173.07,511.427,899.938,312.748,414.532,237.117,876.15,535.051,649.343,565.813,176.998,211.391,93.724,682.709,123.191,936.621,192.399,402.897,400.651,272.23,812.138,329.094,128.034,441.277,99.648,450.733,259.844,549.548,164.947,95.481,230.485,400.965
SATELLITE,Japan,16078.38,1995,302.746,371.727,150.783,639.141,873.758,212.17,822.638,241.135,921.614,962.673,242.029,391.158,767.426,520.083,913.318,750.885,778.091,893.328,582.217,923.002,924.103,784.862,416.979,551.053,462.18,2.249,476.019,525.226,836.372,366.304,879.909,156.613,327.352,271.709,518.015,610.568,900.371,654.929,743.1,496.928,355.542,823.991,61.853,349.827,130.772,353.63
ROCKET BODY,Russia,21673.13,1959,921.724,749.029,259.584,33.162,860.226,479.875,371.627,20.275,857.107,610.346,99.747,458.562,590.032,871.035,275.189,153.662,845.27,114.228,355.994,330.031,797.573,101.938,305.415,402.385,109.404,459.574,392.423,147.361,528.711,144.49,713.333,956.783,892.511,931.442,33.892,975.421,13.499,403.426,466.286,778.528,296.599,220.521,338.574,406.425,294.911,174.21
PAYLOAD,India,2044.21,2010,73.664,640.772,981.348,589.398,967.557,389.982,89.788,868.269,375.325,123.161,744.652,876.264,981.307,89.95,390.95,506.177,294.805,27.029,634.224,862.643,172.751,367.657,576.588,60.248,57.088,976.606,211.166,218.989,430.125,695.826,568.192,554.096,55.964,689.271,762.308,536.751,167.823,206.201,852.069,218.611,99.554,370.338,288.101,673.756,867.206,409.837
FRAGMENT,Japan,9592.58,2011,167.864,113.309,90.258,585.45,221.556,123.479,949.777,995.831,609.105,72.227,148.125,218.627,140.744,775.542,494.546,449.593,737.049,168.532,792.573,797.032,20.064,534.859,714.093,282.485,381.844,660.785,523.227,671.07,866.695,78.993,987.859,850.28,498.036,914.401,239.026,565.938,407.081,403.941,822.922,868.012,109.194,84.157,301.829,409.217,565.337,493.116
SATELLITE,Japan,9158.98,2005,764.555,608.365,351.529,942.577,746.93,142.315,872.02,222.556,676.569,121.385,369.029,580.058,219.086,768.581,428.805,611.815,809.713,530.321,343.123,371.672,744.322,366.184,830.915,186.167,574.414,380.961,952.148,338.066,154.946,863.343,38.985,403.198,720.248,679.305,39.073,248.087,606.287,79.182,171.869,55.489,964.107,843.988,561.077,552.243,890.088,418.559
ROCKET BODY,USA,1039.99,1959,518.06,873.831,336.148,990.688,266.689,32.239,904.357,97.836,39.639,545.937,385.277,967.557,798.366,226.765,634.517,544.094,366.406,99.943,144.042,357.892,819.998,734.609,629.109,769.878,854.396,329.564,110.911,285.484,196.893,134.838,940.2,350.764,964.816,560.991,340.36,597.963,457.494,885.564,170.547,668.917,946.55,905.036,701.724,347.264,543.879,806.951
SATELLITE,China,25518.01,1977,298.343,472.691,722.328,167.775,788.635,194.36,386.524,138.747,51.346,543.777,74.702,189.183,544.2,391.38,845.667,349.909,836.04,626.304,408.615,206.568,44.098,169.264,718.381,316.922,876.824,867.764,896.723,318.013,162.937,92.94,57.346,305.133,392.061,732.065,849.739,477.651,894.855,888.733,612.872,578.007,429.99,971.705,355.33,724.042,648.716,149.354
PAYLOAD,Other,17287.06,1995,810.578,319.867,686.644,507.511,282.195,535.717,160.107,529.608,585.938,984.565,319.116,930.473,899.027,284.635,245.356,477.677,27.315,186.437,992.047,753.628,749.826,487.482,149.85,963.557,933.989,912.701,761.172,999.592,6.762,767.542,97.736,480.978,204.476,386.258,344.857,101.244,556.557,56.336,848.518,315.096,335.942,191.405,973.509,321.278,182.445,33.449
