norad_id,name,object_type,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
10168,OBJECT_168,PAYLOAD,GEO,MEO,Low,86.07,0.05953,2000,1653,Long,10.42,2026-06-18,ISRO,2026-03-28,USA,2026-03-28
10169,OBJECT_169,DEBRIS,GEO,MEO,Moderate,69.85,0.05392,2014,10858,Long,5.9,2026-06-19,ISRO,2026-03-28,EU,2026-03-28
10170,OBJECT_170,DEBRIS,GEO,GEO,Moderate,95.74,0.09688,2020,18741,Moderate,13.39,2026-06-20,ISRO,2026-03-28,USA,2026-03-28
10171,OBJECT_171,PAYLOAD,GEO,MEO,Moderate,103.72,0.04842,2008,3811,Long,14.37,2026-06-21,CNSA,2026-03-28,IND,2026-03-28
10172,OBJECT_172,DEBRIS,GEO,GEO,Low,54.83,0.00636,2011,16570,Very Long,5.84,2026-06-22,ESA,2026-03-28,USA,2026-03-28
10173,OBJECT_173,PAYLOAD,GEO,LEO,Low,57.01,0.05517,1961,1552,Moderate,14.34,2026-06-23,NASA,2026-03-28,EU,2026-03-28
10174,OBJECT_174,DEBRIS,MEO,LEO,High,46.33,0.08411,2009,13585,Very Long,2.21,2026-06-24,ISRO,2026-03-28,USA,2026-03-28
10175,OBJECT_175,PAYLOAD,MEO,GEO,High,116.0,0.09968,2002,762,Very Long,14.32,2026-06-25,CNSA,2026-03-28,RUS,2026-03-28
10176,OBJECT_176,DEBRIS,GEO,MEO,Moderate,83.66,0.04303,1967,12512,Very Long,3.02,2026-06-26,ESA,2026-03-28,USA,2026-03-28
10177,OBJECT_177,PAYLOAD,GEO,GEO,High,9.99,0.03203,2018,9472,Long,1.87,2026-06-27,ESA,2026-03-28,USA,2026-03-28
10178,OBJECT_178,ROCKET_BODY,GEO,MEO,Low,103.56,0.09067,2024,12468,Short,11.09,2026-06-28,CNSA,2026-03-28,EU,2026-03-28
10179,OBJECT_179,PAYLOAD,GEO,LEO,High,57.67,0.01912,1971,6164,Short,8.29,2026-06-29,ISRO,2026-03-28,IND,2026-03-28
10180,OBJECT_180,PAYLOAD,GEO,MEO,Low,8.25,0.06154,1963,16066,Very Long,15.48,2026-06-30,NASA,2026-03-28,IND,2026-03-28
10181,OBJECT_181,PAYLOAD,GEO,GEO,Moderate,65.97,0.04057,2000,11887,Long,6.49,2026-07-01,ISRO,2026-03-28,EU,2026-03-28
10182,OBJECT_182,ROCKET_BODY,GEO,GEO,Moderate,50.06,0.00411,1966,19666,Moderate,5.24,2026-07-02,ESA,2026-03-28,EU,2026-03-28
10183,OBJECT_183,DEBRIS,GEO,LEO,Low,105.33,0.03473,1989,17921,Very Long,8.76,2026-07-03,NASA,2026-03-28,EU,2026-03-28
10184,OBJECT_184,PAYLOAD,GEO,MEO,High,24.48,0.02652,1965,6202,Moderate,8.02,2026-07-04,ISRO,2026-03-28,RUS,2026-03-28
10185,OBJECT_185,DEBRIS,GEO,MEO,Moderate,99.18,0.06861,1978,19549,Moderate,6.18,2026-07-05,NASA,2026-03-28,CHN,2026-03-28
10186,OBJECT_186,DEBRIS,GEO,MEO,Moderate,66.92,0.09488,2025,15581,Long,11.95,2026-07-06,CNSA,2026-03-28,USA,2026-03-28
10187,OBJECT_187,DEBRIS,GEO,LEO,High,6.55,0.0268,1969,19155,Long,13.03,2026-07-07,ISRO,2026-03-28,EU,2026-03-28
10188,OBJECT_188,DEBRIS,GEO,MEO,High,116.62,0.08115,1975,7400,Short,14.57,2026-07-08,ESA,2026-03-28,EU,2026-03-28
10189,OBJECT_189,PAYLOAD,GEO,GEO,Low,61.51,0.00554,1996,19820,Short,16.55,2026-07-09,ESA,2026-03-28,EU,2026-03-28
10190,OBJECT_190,PAYLOAD,GEO,MEO,High,34.91,0.05381,1991,16946,Long,4.9,2026-07-10,NASA,2026-03-28,IND,2026-03-28
10191,OBJECT_191,DEBRIS,GEO,LEO,High,56.33,0.00706,2006,7624,Very Long,12.32,2026-07-11,CNSA,2026-03-28,EU,2026-03-28
10192,OBJECT_192,ROCKET_BODY,GEO,MEO,High,102.94,0.0934,2002,10328,Short,7.01,2026-07-12,ISRO,2026-03-28,USA,2026-03-28
10193,OBJECT_193,DEBRIS,GEO,MEO,Low,36.59,0.07664,1995,7188,Moderate,11.67,2026-07-13,CNSA,2026-03-28,EU,2026-03-28
10194,OBJECT_194,PAYLOAD,GEO,GEO,Low,23.12,0.06579,1985,2181,Very Long,8.35,2026-07-14,CNSA,2026-03-28,USA,2026-03-28
10195,OBJECT_195,PAYLOAD,GEO,MEO,Moderate,15.49,0.08239,1969,1961,Moderate,16.9,2026-07-15,NASA,2026-03-28,RUS,2026-03-28
10196,OBJECT_196,DEBRIS,GEO,GEO,Low,35.74,0.06475,1990,5154,Long,12.53,2026-07-16,NASA,2026-03-28,CHN,2026-03-28
10197,OBJECT_197,DEBRIS,GEO,GEO,Moderate,93.61,0.09689,1988,7036,Moderate,16.22,2026-07-17,ISRO,2026-03-28,IND,2026-03-28
10198,OBJECT_198,DEBRIS,GEO,LEO,High,56.6,0.0714,1964,11472,Very Long,14.28,2026-07-18,ESA,2026-03-28,USA,2026-03-28
10199,OBJECT_199,DEBRIS,GEO,GEO,Moderate,27.3,0.09247,1960,19655,Long,15.4,2026-07-19,ISRO,2026-03-28,RUS,2026-03-28
10200,OBJECT_200,DEBRIS,GEO,GEO,Moderate,19.94,0.05171,1962,583,Very Long,13.94,2026-07-20,CNSA,2026-03-28,CHN,2026-03-28
10201,OBJECT_201,PAYLOAD,GEO,LEO,High,39.93,0.01171,1994,15515,Moderate,8.08,2026-07-21,NASA,2026-03-28,CHN,2026-03-28
10202,OBJECT_202,PAYLOAD,GEO,GEO,Moderate,112.79,0.05282,1974,15532,Very Long,4.65,2026-07-22,CNSA,2026-03-28,CHN,2026-03-28
10203,OBJECT_203,DEBRIS,GEO,LEO,Low,41.16,0.01269,1989,16673,Long,6.61,2026-07-23,NASA,2026-03-28,USA,2026-03-28
10204,OBJECT_204,DEBRIS,GEO,MEO,Low,118.57,0.05925,2002,7980,Moderate,0.83,2026-07-24,ESA,2026-03-28,RUS,2026-03-28
10205,OBJECT_205,PAYLOAD,GEO,LEO,Low,58.23,0.04825,2019,3061,Moderate,9.15,2026-07-25,CNSA,2026-03-28,EU,2026-03-28
10206,OBJECT_206,PAYLOAD,GEO,GEO,Low,21.5,0.06226,1999,13732,Short,8.83,2026-07-26,NASA,2026-03-28,RUS,2026-03-28
10207,OBJECT_207,DEBRIS,GEO,LEO,Moderate,106.94,0.001,2024,12295,Short,9.17,2026-07-27,ISRO,2026-03-28,RUS,2026-03-28
10208,OBJECT_208,PAYLOAD,GEO,GEO,Moderate,55.24,0.01948,1988,17568,Very Long,16.57,2026-07-28,ISRO,2026-03-28,RUS,2026-03-28
10209,OBJECT_209,PAYLOAD,GEO,MEO,High,85.16,0.04913,1978,14275,Short,15.54,2026-07-29,ISRO,2026-03-28,USA,2026-03-28
10210,OBJECT_210,DEBRIS,GEO,LEO,Moderate,118.05,0.09505,1962,17831,Short,3.17,2026-07-30,CNSA,2026-03-28,USA,2026-03-28
10211,OBJECT_211,DEBRIS,GEO,MEO,Moderate,6.02,0.03836,1995,16349,Short,6.59,2026-07-31,NASA,2026-03-28,USA,2026-03-28
10212,OBJECT_212,DEBRIS,GEO,GEO,Moderate,11.6,0.04244,2002,1904,Short,7.5,2026-08-01,NASA,2026-03-28,RUS,2026-03-28
10213,OBJECT_213,PAYLOAD,GEO,GEO,High,86.45,0.07147,1974,14552,Long,6.45,2026-08-02,NASA,2026-03-28,USA,2026-03-28
10214,OBJECT_214,DEBRIS,GEO,MEO,Low,33.82,0.06038,2000,15142,Long,13.68,2026-08-03,CNSA,2026-03-28,CHN,2026-03-28
10215,OBJECT_215,PAYLOAD,MEO,LEO,Moderate,22.12,0.02989,1995,2378,Short,9.15,2026-08-04,NASA,2026-03-28,USA,2026-03-28
10216,OBJECT_216,PAYLOAD,GEO,LEO,High,4.72,0.04108,1992,848,Very Long,9.94,2026-08-05,ESA,2026-03-28,IND,2026-03-28
10217,OBJECT_217,DEBRIS,MEO,GEO,High,2.62,0.02177,1964,14381,Long,14.57,2026-08-06,CNSA,2026-03-28,USA,2026-03-28
10218,OBJECT_218,DEBRIS,GEO,MEO,High,92.94,0.0966,1973,17624,Short,13.8,2026-08-07,ESA,2026-03-28,USA,2026-03-28
10219,OBJECT_219,DEBRIS,GEO,MEO,Low,16.13,0.01306,2006,9525,Long,2.68,2026-08-08,ESA,2026-03-28,USA,2026-03-28
10220,OBJECT_220,DEBRIS,GEO,LEO,Moderate,56.13,0.03718,2013,15232,Moderate,12.28,2026-08-09,ISRO,2026-03-28,USA,2026-03-28
10221,OBJECT_221,DEBRIS,GEO,LEO,High,72.71,0.00258,1963,11699,Long,7.68,2026-08-10,CNSA,2026-03-28,IND,2026-03-28
10222,OBJECT_222,PAYLOAD,GEO,LEO,Low,51.4,0.02218,1968,10572,Long,5.36,2026-08-11,NASA,2026-03-28,EU,2026-03-28
10223,OBJECT_223,PAYLOAD,GEO,MEO,High,3.25,0.07805,2012,12315,Very Long,1.33,2026-08-12,ESA,2026-03-28,USA,2026-03-28
10224,OBJECT_224,PAYLOAD,GEO,LEO,High,94.02,0.02012,2019,11430,Long,8.54,2026-08-13,CNSA,2026-03-28,CHN,2026-03-28
10225,OBJECT_225,PAYLOAD,GEO,LEO,High,1.26,0.00801,2005,2366,Very Long,6.36,2026-08-14,NASA,2026-03-28,IND,2026-03-28
10226,OBJECT_226,ROCKET_BODY,GEO,GEO,High,91.43,0.04745,2013,10605,Moderate,4.65,2026-08-15,ISRO,2026-03-28,EU,2026-03-28
10227,OBJECT_227,PAYLOAD,GEO,LEO,High,107.2,0.001,1996,11367,Short,11.96,2026-08-16,CNSA,2026-03-28,USA,2026-03-28
10228,OBJECT_228,DEBRIS,GEO,LEO,Low,51.94,0.00848,1982,5056,Very Long,13.2,2026-08-17,CNSA,2026-03-28,EU,2026-03-28
10229,OBJECT_229,DEBRIS,GEO,MEO,Moderate,64.27,0.08076,1986,5623,Long,4.54,2026-08-18,CNSA,2026-03-28,CHN,2026-03-28
10230,OBJECT_230,DEBRIS,GEO,MEO,Moderate,57.24,0.07715,2025,16757,Long,1.32,2026-08-19,NASA,2026-03-28,IND,2026-03-28
10231,OBJECT_231,DEBRIS,GEO,GEO,Moderate,46.71,0.09151,2020,7784,Very Long,14.5,2026-08-20,ESA,2026-03-28,IND,2026-03-28
10232,OBJECT_232,DEBRIS,GEO,LEO,Moderate,106.49,0.08545,2010,1950,Moderate,0.66,2026-08-21,ESA,2026-03-28,EU,2026-03-28
10233,OBJECT_233,PAYLOAD,GEO,GEO,Low,107.27,0.06832,2009,16629,Short,15.96,2026-08-22,CNSA,2026-03-28,USA,2026-03-28
10234,OBJECT_234,PAYLOAD,GEO,MEO,Low,40.3,0.00523,1978,10033,Long,10.86,2026-08-23,CNSA,2026-03-28,RUS,2026-03-28
10235,OBJECT_235,DEBRIS,GEO,GEO,Low,73.81,0.07828,1960,11620,Moderate,5.81,2026-08-24,NASA,2026-03-28,IND,2026-03-28
10236,OBJECT_236,PAYLOAD,GEO,MEO,High,111.23,0.08455,1999,16509,Short,4.57,2026-08-25,ISRO,2026-03-28,RUS,2026-03-28
10237,OBJECT_237,PAYLOAD,GEO,GEO,High,115.45,0.07991,1991,12825,Short,0.65,2026-08-26,CNSA,2026-03-28,IND,2026-03-28
10238,OBJECT_238,DEBRIS,GEO,GEO,High,61.08,0.05085,1981,10946,Long,4.39,2026-08-27,CNSA,2026-03-28,USA,2026-03-28
10239,OBJECT_239,PAYLOAD,GEO,LEO,Moderate,54.34,0.02329,2025,1920,Very Long,2.77,2026-08-28,ISRO,2026-03-28,USA,2026-03-28
10240,OBJECT_240,ROCKET_BODY,GEO,GEO,High,33.44,0.08453,1999,9828,Long,10.6,2026-08-29,CNSA,2026-03-28,IND,2026-03-28
10241,OBJECT_241,ROCKET_BODY,GEO,LEO,Moderate,115.06,0.07272,1997,9618,Long,3.25,2026-08-30,ESA,2026-03-28,EU,2026-03-28
10242,OBJECT_242,ROCKET_BODY,GEO,LEO,High,17.14,0.09808,2007,9733,Long,9.22,2026-08-31,CNSA,2026-03-28,USA,2026-03-28
10243,OBJECT_243,PAYLOAD,GEO,LEO,Moderate,69.58,0.01557,2014,531,Moderate,10.24,2026-09-01,ESA,2026-03-28,USA,2026-03-28
10244,OBJECT_244,PAYLOAD,GEO,LEO,High,33.91,0.02257,2014,7850,Very Long,5.42,2026-09-02,NASA,2026-03-28,CHN,2026-03-28
10245,OBJECT_245,ROCKET_BODY,GEO,GEO,High,33.48,0.02118,2010,6930,Moderate,1.08,2026-09-03,NASA,2026-03-28,USA,2026-03-28
10246,OBJECT_246,PAYLOAD,GEO,MEO,Low,48.6,0.07925,2019,4350,Long,1.11,2026-09-04,ESA,2026-03-28,CHN,2026-03-28
10247,OBJECT_247,ROCKET_BODY,GEO,MEO,High,119.86,0.01869,1967,14457,Very Long,0.93,2026-09-05,ESA,2026-03-28,USA,2026-03-28
10248,OBJECT_248,ROCKET_BODY,GEO,MEO,High,6.6,0.00667,1968,11296,Short,12.7,2026-09-06,ISRO,2026-03-28,USA,2026-03-28
10249,OBJECT_249,DEBRIS,GEO,GEO,Low,69.43,0.09986,1961,18186,Very Long,5.75,2026-09-07,ESA,2026-03-28,EU,2026-03-28
10250,OBJECT_250,PAYLOAD,GEO,LEO,Moderate,9.91,0.00248,2018,5157,Long,13.64,2026-09-08,ESA,2026-03-28,EU,2026-03-28
10251,OBJECT_251,PAYLOAD,GEO,MEO,Low,18.54,0.08352,1978,9229,Very Long,7.62,2026-09-09,CNSA,2026-03-28,USA,2026-03-28
10252,OBJECT_252,DEBRIS,GEO,GEO,Low,52.75,0.03654,1987,11921,Short,7.97,2026-09-10,ISRO,2026-03-28,IND,2026-03-28
10253,OBJECT_253,PAYLOAD,GEO,LEO,Moderate,61.26,0.08416,1973,7433,Short,8.96,2026-09-11,ESA,2026-03-28,IND,2026-03-28
10254,OBJECT_254,PAYLOAD,GEO,MEO,High,31.06,0.05546,1983,12204,Very Long,12.27,2026-09-12,ESA,2026-03-28,USA,2026-03-28
10255,OBJECT_255,DEBRIS,GEO,LEO,Moderate,37.97,0.09016,2003,6190,Short,5.01,2026-09-13,ESA,2026-03-28,IND,2026-03-28
10256,OBJECT_256,ROCKET_BODY,GEO,MEO,High,10.44,0.09262,2015,1143,Moderate,2.51,2026-09-14,CNSA,2026-03-28,USA,2026-03-28
10257,OBJECT_257,DEBRIS,GEO,MEO,High,36.39,0.00091,2010,7615,Very Long,9.67,2026-09-15,CNSA,2026-03-28,EU,2026-03-28
10258,OBJECT_258,DEBRIS,GEO,MEO,Moderate,115.99,0.00754,1991,14254,Short,5.9,2026-09-16,CNSA,2026-03-28,RUS,2026-03-28
10259,OBJECT_259,PAYLOAD,GEO,LEO,Low,113.36,0.02504,2009,18014,Short,7.8,2026-09-17,NASA,2026-03-28,CHN,2026-03-28
10260,OBJECT_260,DEBRIS,GEO,GEO,Moderate,40.19,0.06693,2000,17147,Very Long,11.17,2026-09-18,CNSA,2026-03-28,IND,2026-03-28
10261,OBJECT_261,ROCKET_BODY,GEO,LEO,High,68.5,0.08883,2025,6906,Moderate,8.65,2026-09-19,ESA,2026-03-28,IND,2026-03-28
10262,OBJECT_262,PAYLOAD,GEO,MEO,Moderate,109.15,0.04599,1984,4890,Very Long,10.73,2026-09-20,CNSA,2026-03-28,EU,2026-03-28
10263,OBJECT_263,DEBRIS,GEO,LEO,Moderate,0.74,0.0607,2020,4840,Short,9.48,2026-09-21,CNSA,2026-03-28,IND,2026-03-28
10264,OBJECT_264,DEBRIS,GEO,GEO,High,97.28,0.01885,2025,3958,Very Long,12.71,2026-09-22,ISRO,2026-03-28,USA,2026-03-28
10265,OBJECT_265,DEBRIS,GEO,LEO,Low,113.8,0.0805,2001,558,Short,12.15,2026-09-23,ESA,2026-03-28,USA,2026-03-28
10266,OBJECT_266,DEBRIS,GEO,GEO,Moderate,10.96,0.09673,2024,4622,Long,9.31,2026-09-24,CNSA,2026-03-28,RUS,2026-03-28
10267,OBJECT_267,DEBRIS,GEO,GEO,High,19.37,0.02686,1995,14933,Very Long,11.7,2026-09-25,NASA,2026-03-28,RUS,2026-03-28
10268,OBJECT_268,PAYLOAD,GEO,LEO,High,115.29,0.04948,1968,840,Very Long,14.91,2026-09-26,ISRO,2026-03-28,RUS,2026-03-28
10269,OBJECT_269,PAYLOAD,GEO,MEO,Moderate,64.5,0.00861,1995,9244,Short,7.63,2026-09-27,CNSA,2026-03-28,USA,2026-03-28
10270,OBJECT_270,DEBRIS,GEO,GEO,Low,1.7,0.05591,1997,9597,Short,7.31,2026-09-28,ISRO,2026-03-28,RUS,2026-03-28
10271,OBJECT_271,DEBRIS,GEO,LEO,Moderate,30.92,0.05028,1992,6999,Short,13.11,2026-09-29,ISRO,2026-03-28,RUS,2026-03-28
10272,OBJECT_272,DEBRIS,GEO,GEO,Low,53.99,0.01444,2001,10130,Short,10.11,2026-09-30,NASA,2026-03-28,USA,2026-03-28
10273,OBJECT_273,ROCKET_BODY,GEO,MEO,Low,83.15,0.04421,2020,511,Very Long,1.67,2026-10-01,NASA,2026-03-28,EU,2026-03-28
10274,OBJECT_274,DEBRIS,GEO,LEO,Low,87.98,0.03341,2005,11597,Short,15.22,2026-10-02,NASA,2026-03-28,IND,2026-03-28
10275,OBJECT_275,DEBRIS,GEO,LEO,Low,119.45,0.05218,2020,12975,Very Long,1.01,2026-10-03,ESA,2026-03-28,CHN,2026-03-28
10276,OBJECT_276,DEBRIS,GEO,LEO,Moderate,34.5,0.05857,1977,1138,Moderate,12.85,2026-10-04,ISRO,2026-03-28,USA,2026-03-28
10277,OBJECT_277,DEBRIS,MEO,MEO,High,64.59,0.00085,1974,13701,Very Long,13.02,2026-10-05,CNSA,2026-03-28,USA,2026-03-28
10278,OBJECT_278,DEBRIS,GEO,GEO,High,64.0,0.0761,2007,4667,Short,16.23,2026-10-06,NASA,2026-03-28,CHN,2026-03-28
10279,OBJECT_279,DEBRIS,GEO,LEO,High,48.68,0.0713,1972,8907,Short,1.39,2026-10-07,NASA,2026-03-28,CHN,2026-03-28
10280,OBJECT_280,DEBRIS,GEO,GEO,High,20.3,0.03663,2002,10479,Moderate,10.35,2026-10-08,ISRO,2026-03-28,RUS,2026-03-28
10281,OBJECT_281,PAYLOAD,GEO,GEO,High,117.29,0.00529,2019,2655,Very Long,7.56,2026-10-09,ISRO,2026-03-28,CHN,2026-03-28
10282,OBJECT_282,PAYLOAD,GEO,MEO,High,102.4,0.07549,2016,991,Moderate,5.96,2026-10-10,ISRO,2026-03-28,IND,2026-03-28
10283,OBJECT_283,PAYLOAD,GEO,LEO,Moderate,59.8,0.09552,1976,2161,Very Long,1.99,2026-10-11,CNSA,2026-03-28,IND,2026-03-28
10284,OBJECT_284,DEBRIS,MEO,GEO,Low,72.39,0.02402,2009,15137,Short,9.78,2026-10-12,ESA,2026-03-28,IND,2026-03-28
10285,OBJECT_285,PAYLOAD,MEO,LEO,High,27.27,0.03235,1991,10337,Very Long,8.4,2026-10-13,ESA,2026-03-28,IND,2026-03-28
10286,OBJECT_286,PAYLOAD,GEO,LEO,Moderate,65.25,0.01838,1981,14270,Short,2.23,2026-10-14,NASA,2026-03-28,IND,2026-03-28
10287,OBJECT_287,DEBRIS,GEO,MEO,High,83.4,0.05769,2014,16207,Short,10.61,2026-10-15,ESA,2026-03-28,RUS,2026-03-28
10288,OBJECT_288,PAYLOAD,GEO,LEO,High,61.82,0.01548,2016,2064,Long,12.68,2026-10-16,CNSA,2026-03-28,USA,2026-03-28
10289,OBJECT_289,DEBRIS,GEO,LEO,Low,118.83,0.03562,1972,10796,Long,13.16,2026-10-17,ESA,2026-03-28,CHN,2026-03-28
10290,OBJECT_290,PAYLOAD,GEO,GEO,Low,73.36,0.0697,2006,18362,Very Long,15.44,2026-10-18,CNSA,2026-03-28,USA,2026-03-28
10291,OBJECT_291,PAYLOAD,GEO,MEO,Low,44.52,0.05601,2021,8568,Short,7.26,2026-10-19,NASA,2026-03-28,CHN,2026-03-28
10292,OBJECT_292,DEBRIS,GEO,LEO,High,92.66,0.03865,2013,8934,Moderate,16.23,2026-10-20,ISRO,2026-03-28,RUS,2026-03-28
10293,OBJECT_293,PAYLOAD,GEO,GEO,High,20.46,0.04202,1988,19052,Short,14.78,2026-10-21,CNSA,2026-03-28,RUS,2026-03-28
10294,OBJECT_294,PAYLOAD,GEO,MEO,High,46.14,0.05621,1981,15620,Moderate,5.39,2026-10-22,ISRO,2026-03-28,EU,2026-03-28
10295,OBJECT_295,DEBRIS,GEO,MEO,Low,41.64,0.00059,2024,4920,Very Long,3.13,2026-10-23,NASA,2026-03-28,EU,2026-03-28
10296,OBJECT_296,DEBRIS,GEO,GEO,Moderate,51.82,0.00785,1988,11742,Very Long,7.68,2026-10-24,CNSA,2026-03-28,RUS,2026-03-28
10297,OBJECT_297,PAYLOAD,GEO,GEO,High,93.81,0.08813,2007,8799,Moderate,7.13,2026-10-25,CNSA,2026-03-28,RUS,2026-03-28
10298,OBJECT_298,DEBRIS,GEO,GEO,High,58.1,0.00779,1964,16928,Moderate,10.0,2026-10-26,ESA,2026-03-28,CHN,2026-03-28
10299,OBJECT_299,PAYLOAD,GEO,GEO,High,95.28,0.07068,1994,14567,Short,10.13,2026-10-27,CNSA,2026-03-28,RUS,2026-03-28
10300,OBJECT_300,PAYLOAD,GEO,GEO,Moderate,69.18,0.092,2005,884,Very Long,12.87,2026-10-28,NASA,2026-03-28,USA,2026-03-28
10301,OBJECT_301,DEBRIS,GEO,LEO,High,41.05,0.02707,1994,9416,Short,8.91,2026-10-29,ISRO,2026-03-28,CHN,2026-03-28
10302,OBJECT_302,DEBRIS,GEO,LEO,Moderate,97.2,0.03705,2004,11086,Moderate,2.23,2026-10-30,CNSA,2026-03-28,RUS,2026-03-28
10303,OBJECT_303,DEBRIS,GEO,MEO,High,28.59,0.05689,1972,15009,Long,14.66,2026-10-31,NASA,2026-03-28,CHN,2026-03-28
10304,OBJECT_304,DEBRIS,GEO,LEO,Moderate,26.93,0.08817,1969,18453,Long,5.61,2026-11-01,NASA,2026-03-28,CHN,2026-03-28
10305,OBJECT_305,ROCKET_BODY,GEO,LEO,High,60.54,0.09419,2025,8121,Long,16.53,2026-11-02,CNSA,2026-03-28,IND,2026-03-28
10306,OBJECT_306,DEBRIS,GEO,LEO,Low,31.3,0.07396,1984,7821,Moderate,2.44,2026-11-03,ESA,2026-03-28,EU,2026-03-28
10307,OBJECT_307,PAYLOAD,GEO,GEO,Low,1.09,0.00866,2003,11902,Short,16.31,2026-11-04,CNSA,2026-03-28,CHN,2026-03-28
10308,OBJECT_308,DEBRIS,GEO,MEO,Low,77.8,0.06692,2019,18171,Very Long,2.0,2026-11-05,CNSA,2026-03-28,CHN,2026-03-28
10309,OBJECT_309,PAYLOAD,GEO,MEO,Low,61.33,0.04103,2006,16260,Moderate,4.31,2026-11-06,ESA,2026-03-28,IND,2026-03-28
10310,OBJECT_310,PAYLOAD,GEO,MEO,High,53.46,0.04707,1999,9650,Long,1.27,2026-11-07,NASA,2026-03-28,RUS,2026-03-28
10311,OBJECT_311,PAYLOAD,GEO,MEO,Low,116.04,0.00491,1966,8270,Short,12.13,2026-11-08,CNSA,2026-03-28,CHN,2026-03-28
10312,OBJECT_312,PAYLOAD,GEO,LEO,Moderate,68.54,0.01911,2005,11806,Very Long,14.53,2026-11-09,ESA,2026-03-28,IND,2026-03-28
10313,OBJECT_313,ROCKET_BODY,GEO,LEO,Low,103.61,0.07905,1982,17693,Very Long,7.66,2026-11-10,ISRO,2026-03-28,USA,2026-03-28
10314,OBJECT_314,DEBRIS,GEO,GEO,Low,16.73,0.0454,2005,10380,Moderate,15.82,2026-11-11,ISRO,2026-03-28,IND,2026-03-28
10315,OBJECT_315,DEBRIS,GEO,MEO,Low,68.3,0.03017,1972,8745,Moderate,10.24,2026-11-12,ESA,2026-03-28,EU,2026-03-28
10316,OBJECT_316,PAYLOAD,GEO,LEO,High,104.16,0.0384,1980,13286,Very Long,10.9,2026-11-13,NASA,2026-03-28,EU,2026-03-28
10317,OBJECT_317,PAYLOAD,GEO,LEO,Low,69.97,0.08544,1960,8474,Very Long,14.45,2026-11-14,ESA,2026-03-28,RUS,2026-03-28
10318,OBJECT_318,PAYLOAD,GEO,GEO,Moderate,86.16,0.0749,1978,10680,Long,5.4,2026-11-15,NASA,2026-03-28,RUS,2026-03-28
10319,OBJECT_319,PAYLOAD,GEO,GEO,Low,44.65,0.02723,2019,14606,Very Long,6.35,2026-11-16,ISRO,2026-03-28,EU,2026-03-28
10320,OBJECT_320,DEBRIS,GEO,GEO,Low,11.09,0.01175,1992,10986,Moderate,15.45,2026-11-17,CNSA,2026-03-28,EU,2026-03-28
10321,OBJECT_321,DEBRIS,GEO,LEO,Low,54.95,0.0252,1963,12392,Short,15.37,2026-11-18,ESA,2026-03-28,CHN,2026-03-28
10322,OBJECT_322,DEBRIS,GEO,LEO,Moderate,47.34,0.09208,1962,4862,Long,16.61,2026-11-19,ISRO,2026-03-28,EU,2026-03-28
10323,OBJECT_323,PAYLOAD,GEO,GEO,Low,104.05,0.05816,2011,19161,Long,15.38,2026-11-20,CNSA,2026-03-28,RUS,2026-03-28
10324,OBJECT_324,ROCKET_BODY,GEO,MEO,Moderate,29.28,0.05335,1987,1597,Very Long,2.6,2026-11-21,ISRO,2026-03-28,EU,2026-03-28
10325,OBJECT_325,DEBRIS,GEO,GEO,Moderate,116.01,0.05964,2014,16864,Short,14.09,2026-11-22,ESA,2026-03-28,RUS,2026-03-28
10326,OBJECT_326,DEBRIS,GEO,GEO,Low,114.98,0.0366,2016,19697,Long,7.26,2026-11-23,ESA,2026-03-28,USA,2026-03-28
10327,OBJECT_327,DEBRIS,GEO,GEO,Moderate,29.72,0.08071,1975,10156,Moderate,16.85,2026-11-24,CNSA,2026-03-28,EU,2026-03-28
10328,OBJECT_328,PAYLOAD,GEO,GEO,High,41.77,0.05233,1983,7920,Very Long,8.29,2026-11-25,ESA,2026-03-28,RUS,2026-03-28
10329,OBJECT_329,PAYLOAD,GEO,LEO,Low,107.47,0.01167,2000,10335,Moderate,9.64,2026-11-26,ISRO,2026-03-28,IND,2026-03-28
10330,OBJECT_330,PAYLOAD,GEO,MEO,Low,115.99,0.01291,2006,14629,Very Long,9.24,2026-11-27,CNSA,2026-03-28,CHN,2026-03-28
10331,OBJECT_331,DEBRIS,GEO,GEO,Moderate,53.21,0.05369,1990,2073,Long,5.81,2026-11-28,CNSA,2026-03-28,RUS,2026-03-28
10332,OBJECT_332,PAYLOAD,MEO,MEO,Moderate,38.52,0.09366,1989,9488,Very Long,1.74,2026-11-29,ISRO,2026-03-28,EU,2026-03-28
10333,OBJECT_333,PAYLOAD,GEO,MEO,Low,63.13,0.03084,1977,5625,Short,15.28,2026-11-30,NASA,2026-03-28,EU,2026-03-28
10334,OBJECT_334,PAYLOAD,GEO,MEO,High,82.53,0.08695,2003,939,Moderate,13.74,2026-12-01,CNSA,2026-03-28,USA,2026-03-28
10335,OBJECT_335,PAYLOAD,GEO,GEO,Moderate,32.82,0.07641,1986,8177,Short,2.8,2026-12-02,NASA,2026-03-28,IND,2026-03-28
10336,OBJECT_336,DEBRIS,GEO,LEO,Moderate,88.38,0.02478,1985,762,Moderate,13.32,2026-12-03,ISRO,2026-03-28,RUS,2026-03-28
